# script: ch04_initialisation_ablation.py
# seeds: 42, 7, 123, 2024, 5
# arms: random, sir, whitened, more starts, whitened+sir+starts
# n_restarts: 5
# max_iter: 150
part,seed,config,model,nonlinearity,noise,rho,n,p,d,arm,angle,delta_m,dcor2_u,restart_spread,seconds
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,sir,62.9741,0.890801,0.137234,0.005142,0.078
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,whitened,63.2716,0.893148,0.137272,0.005209,0.083
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,more starts,63.1913,0.892517,0.137293,0.011038,0.435
grid,42,sine_s0.0_r0.5,,sine,0.0,0.5,200,20,1,whitened+sir+starts,63.3341,0.893639,0.137297,0.005436,0.446
grid,42,sine_s0.5_r0.5,,sine,0.5,0.5,200,20,1,random,61.7727,0.881078,0.114715,0.000794,0.105
grid,42,sine_s0.5_r0.5,,sine,0.5,0.5,200,20,1,sir,61.1354,0.875763,0.114724,0.000803,0.095
grid,42,sine_s0.5_r0.5,,sine,0.5,0.5,200,20,1,whitened,62.0608,0.883446,0.114621,0.07459,0.098
grid,42,sine_s0.5_r0.5,,sine,0.5,0.5,200,20,1,more starts,59.1839,0.858816,0.114915,0.047181,0.508
grid,42,sine_s0.5_r0.5,,sine,0.5,0.5,200,20,1,whitened+sir+starts,59.1858,0.858833,0.11491,0.074879,0.45
grid,42,sine_s1.0_r0.5,,sine,1.0,0.5,200,20,1,random,71.2375,0.94686,0.079479,0.020983,0.105
grid,42,sine_s1.0_r0.5,,sine,1.0,0.5,200,20,1,sir,80.3714,0.985913,0.073396,0.0149,0.086
grid,42,sine_s1.0_r0.5,,sine,1.0,0.5,200,20,1,whitened,73.6067,0.959347,0.065011,0.026474,0.093
grid,42,sine_s1.0_r0.5,,sine,1.0,0.5,200,20,1,more starts,71.2375,0.94686,0.079479,0.046453,0.478
grid,42,sine_s1.0_r0.5,,sine,1.0,0.5,200,20,1,whitened+sir+starts,71.2687,0.947035,0.079512,0.040974,0.443
grid,42,sine_s2.0_r0.5,,sine,2.0,0.5,200,20,1,random,75.6086,0.96862,0.057511,0.028224,0.089
grid,42,sine_s2.0_r0.5,,sine,2.0,0.5,200,20,1,sir,69.8088,0.938546,0.060762,0.031475,0.078
grid,42,sine_s2.0_r0.5,,sine,2.0,0.5,200,20,1,whitened,89.0818,0.999872,0.056766,0.019873,0.073
grid,42,sine_s2.0_r0.5,,sine,2.0,0.5,200,20,1,more starts,81.6947,0.989513,0.06856,0.039273,0.466
grid,42,sine_s2.0_r0.5,,sine,2.0,0.5,200,20,1,whitened+sir+starts,80.6741,0.986783,0.070118,0.033224,0.395
