# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,1,False,INPCA(k3)+lin(G&S),SAVE+linear,-1.6917167885562,0.09069998582831662,4.318042730014851,4.426764322293334
2,1,False,INPCA(k3)+lin(G&S),SAVE+poly,0.83911058033015,0.40140725938837907,4.318042730014851,4.185997306871756
2,1,False,INPCA(k3)+lin(G&S),SIR+linear,0.45122957866299007,0.6518240935133957,4.318042730014851,4.071187781413635
2,1,False,INPCA(k3)+lin(G&S),SIR+poly,0.004043556820367028,0.996773717234112,4.318042730014851,4.3160249598109734
2,1,True,INPCA(k3)+lin(G&S),DcorSDR(seqX)+linear,0.5062003147668627,0.6127160340660189,2.7747607040770994,2.540778645727945
2,1,True,INPCA(k3)+lin(G&S),DcorSDR(seqX)+poly,0.5587143809999466,0.576356663087797,2.7747607040770994,2.508790150174655
2,1,True,INPCA(k3)+lin(G&S),DcorSDR(seqY)+linear,0.5062003147668627,0.6127160340660189,2.7747607040770994,2.540778645727945
2,1,True,INPCA(k3)+lin(G&S),DcorSDR(seqY)+poly,0.5587143809999466,0.576356663087797,2.7747607040770994,2.508790150174655
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(joi,plain)+linear",0.33062856906051624,0.7409250637726077,2.7747607040770994,2.7136340247156574
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(joi,plain)+poly",0.8519242981921775,0.39425610975358394,2.7747607040770994,2.54966264575731
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(joi,robust)+linear",-0.5819253096574546,0.560616991645916,2.7747607040770994,2.8408126723338003
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(joi,robust)+poly",-0.7749891043842639,0.438346097863072,2.7747607040770994,2.9132986730402077
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(seq,plain)+linear",0.4717040653070765,0.6371380349993931,2.7747607040770994,2.620067394899532
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(seq,plain)+poly",0.2933685267047372,0.7692404796808407,2.7747607040770994,2.6617281539145274
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(seq,robust)+linear",-0.7377622417672557,0.46065894178872036,2.7747607040770994,2.9456136324403484
