# script: ch06_best_d_dm_tests.py
# seeds: 0
seed,maturity,focus,other,d_focus,d_other,r2_focus,r2_other,mspe_focus,mspe_other,DM,p
0,5,dCor-SDR+lin,PCA+linear,2,8,0.26775502297779674,0.2057941745918046,36.08377463603349,39.137098809740706,1.6933392158283436,0.09039091763101936
0,2,dCor-SDR+lin,SIR+linear,2,3,0.24239834144276529,0.19495196537477066,3.4214191068045743,3.6356925786140453,1.5004559856749655,0.133496326590558
0,3,dCor-SDR+lin,SIR+linear,2,7,0.2525557622867737,0.22069398477127156,11.9418667277996,12.450920221830161,1.564870633463104,0.11761324567408171
0,4,dCor-SDR+lin,SIR+linear,3,2,0.260050860103335,0.22939297462634933,24.31023566688115,25.31746762487472,1.6500383466537605,0.09893509328010697
0,5,dCor-SDR+lin,SIR+linear,2,2,0.26775502297779674,0.2410071945972626,36.08377463603349,37.401861671893386,1.27265877949796,0.20313915076766298
0,2,dCor-SDR+lin,SAVE+linear,2,8,0.24239834144276529,0.18363859244366054,3.4214191068045743,3.686785115003974,1.592995303715629,0.11116124458989773
0,3,dCor-SDR+lin,SAVE+linear,2,7,0.2525557622867737,0.22387709999015992,11.9418667277996,12.400063802307157,1.181624916195402,0.23735456257300358
0,4,dCor-SDR+lin,SAVE+linear,3,8,0.260050860103335,0.20959570490759794,24.31023566688115,25.967885696163872,1.8939670880223527,0.05822937853908061
0,5,dCor-SDR+lin,SAVE+linear,2,4,0.26775502297779674,0.22413354413046538,36.08377463603349,38.233366181773626,0.9895490267553819,0.3223945952468259
0,2,dCor-SDR+lin,PLS+linear,2,4,0.24239834144276529,0.18905408024622028,3.4214191068045743,3.662328128629854,1.5238162360871104,0.12755462254916416
0,3,dCor-SDR+lin,PLS+linear,2,4,0.2525557622867737,0.2100194197406925,11.9418667277996,12.621467035278624,1.6550335666261804,0.09791768921135979
0,4,dCor-SDR+lin,PLS+linear,3,2,0.260050860103335,0.22012770754582267,24.31023566688115,25.621868041200162,1.4278210509682594,0.15334337210016113
0,5,dCor-SDR+lin,PLS+linear,2,2,0.26775502297779674,0.22122365096555285,36.08377463603349,38.376760718400746,1.2604912027748196,0.20749221944184315
0,2,dVar(seq)+lin,PCA+linear,6,8,0.19758029373607522,0.18363859244366043,3.623822735441514,3.6867851150039743,2.3513465705926664,0.018705602208662464
0,3,dVar(seq)+lin,PCA+linear,7,8,0.21343320109468344,0.20424166803307875,12.566925278301632,12.713777788907192,2.1549521404935814,0.031165579577675517
0,4,dVar(seq)+lin,PCA+linear,7,8,0.22618246666428643,0.2095957049075977,25.422945421874452,25.96788569616388,2.030629325894776,0.04229261053918876
0,5,dVar(seq)+lin,PCA+linear,7,8,0.22763440087978126,0.2057941745918046,38.06084997484918,39.137098809740706,1.9512811078506533,0.05102361516229825
0,2,dVar(seq)+lin,PCA+poly,6,8,0.19758029373607522,0.2689258791002641,3.623822735441514,3.301617594792721,-1.9670481952130545,0.04917765478756242
0,3,dVar(seq)+lin,PCA+poly,7,8,0.21343320109468344,0.2858808799470465,12.566925278301632,11.409433545887898,-1.803534248538903,0.07130435174784289
