# script: ch04_known_start.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,dcor2_true,dcor2_found,dcor2_from_truth,angle_found,angle_from_truth,found_beats_truth
2024,tanh,0.5,200,5,0.662898,0.6853,0.685305,8.2234,8.1489,True
2024,tanh,0.5,200,20,0.67112,0.718876,0.719026,14.3559,14.1582,True
2024,tanh,1.0,200,5,0.300408,0.330768,0.330766,14.1969,13.9875,True
2024,tanh,1.0,200,20,0.331442,0.418998,0.418999,26.2697,26.1343,True
2024,tanh,2.0,200,5,0.074498,0.106788,0.106784,33.7639,33.4928,True
2024,tanh,2.0,200,20,0.090156,0.21232,0.212375,46.2124,45.1958,True
5,square,0.0,200,5,0.288048,0.29043,0.290442,2.9124,2.8932,True
5,square,0.0,200,20,0.316091,0.332653,0.332667,11.1339,10.7341,True
5,square,0.5,200,5,0.250893,0.25507,0.255044,4.3452,4.8883,True
5,square,0.5,200,20,0.276624,0.298576,0.298607,15.0052,15.0444,True
5,square,1.0,200,5,0.186585,0.191929,0.191928,5.5056,5.407,True
5,square,1.0,200,20,0.214971,0.240227,0.240248,18.31,18.2409,True
5,square,2.0,200,5,0.107278,0.11325,0.113265,9.1812,8.2745,True
5,square,2.0,200,20,0.12623,0.157763,0.157852,30.1822,30.1077,True
5,sine,0.0,200,5,0.037747,0.019989,0.037855,84.3008,0.4031,False
5,sine,0.0,200,20,0.013965,0.097278,0.015206,79.9909,2.5043,True
5,sine,0.5,200,5,0.025629,0.020232,0.025878,38.1819,1.0207,False
5,sine,0.5,200,20,0.005062,0.142189,0.007023,85.0913,3.0965,True
5,sine,1.0,200,5,0.012593,0.026777,0.01302,38.7158,2.1972,True
5,sine,1.0,200,20,0.0,0.146818,0.146813,85.2528,85.2303,True
5,sine,2.0,200,5,0.007453,0.02902,0.029055,38.1272,37.8392,True
5,sine,2.0,200,20,0.0,0.130761,0.13069,83.4814,82.2933,True
5,abs,0.0,200,5,0.300946,0.30375,0.303733,2.5839,2.4412,True
5,abs,0.0,200,20,0.322462,0.334045,0.334021,7.9602,7.5572,True
5,abs,0.5,200,5,0.196595,0.203227,0.20324,5.6402,5.5763,True
5,abs,0.5,200,20,0.208283,0.225214,0.225287,13.2138,14.2579,True
5,abs,1.0,200,5,0.104929,0.112814,0.112835,8.6755,8.4105,True
5,abs,1.0,200,20,0.110226,0.132523,0.134312,64.8107,25.4168,True
5,abs,2.0,200,5,0.046358,0.055688,0.055691,16.1644,15.7383,True
5,abs,2.0,200,20,0.046214,0.128548,0.128469,86.0283,69.0606,True
5,cubic,0.0,200,5,0.735484,0.737778,0.737776,2.666,2.5145,True
5,cubic,0.0,200,20,0.730916,0.747703,0.747646,9.9925,9.7114,True
5,cubic,0.5,200,5,0.62742,0.629733,0.62972,2.9069,2.9827,True
5,cubic,0.5,200,20,0.67735,0.705696,0.705638,13.4655,13.2443,True
5,cubic,1.0,200,5,0.504357,0.507553,0.507509,3.6002,3.5915,True
5,cubic,1.0,200,20,0.600881,0.642082,0.642087,17.0452,17.0539,True
5,cubic,2.0,200,5,0.326792,0.330834,0.330835,5.4128,5.3809,True
5,cubic,2.0,200,20,0.453226,0.515505,0.515468,23.636,23.2776,True
5,tanh,0.0,200,5,0.930311,0.931966,0.931971,1.8043,1.7536,True
5,tanh,0.0,200,20,0.912908,0.920497,0.920508,5.153,5.1067,True
5,tanh,0.5,200,5,0.715326,0.721671,0.721697,4.8663,5.0431,True
5,tanh,0.5,200,20,0.692496,0.735718,0.735768,13.9581,14.0377,True
5,tanh,1.0,200,5,0.352486,0.362957,0.362973,8.9621,9.2708,True
5,tanh,1.0,200,20,0.38028,0.461741,0.46151,23.6036,23.1053,True
5,tanh,2.0,200,5,0.096481,0.107535,0.107529,14.4439,18.8867,True
5,tanh,2.0,200,20,0.133453,0.245292,0.245409,40.4722,41.0437,True
