# script: ch05_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 20
# max_iter: 300
# n_rand: 20
# index_fun: plain
seed,n,p,sigma,dist,angle_deg,MSS_dVar,MSS_PCA,MSS_FastICA,MSS_random,dvar_obj,dvar_random_mean,restart_spread,beats_PCA,beats_FastICA,beats_random
42,200,50,1.0,gaussian,41.067550944935995,0.43158115447717804,0.27516026054781495,0.2751602605478146,0.9877137730300667,1.1225908016803066,0.6528464270887596,0.002575375851968431,False,False,True
42,200,5,2.0,gaussian,7.3128456630379315,0.016201977126195755,0.016291640573899646,0.016291640573899202,0.8436009160341469,1.3621668283565245,0.8029547503512772,0.002955967386436109,True,True,True
42,200,20,2.0,gaussian,9.421108672014796,0.026794226203061933,0.024692545912617603,0.02469254591261738,0.9444617215082568,1.4871225379113682,0.7148843454659816,0.0014888035690905355,False,False,True
42,200,50,2.0,gaussian,22.173380646922627,0.1424387541097346,0.08182239400878322,0.08182239400878277,0.9877137730300667,1.5113752633905846,0.6708837366125928,0.00027329968671230276,False,False,True
42,200,5,4.0,gaussian,3.7914742973200766,0.00437257186171891,0.0035702510599193715,0.0035702510599198156,0.8436009160341469,2.5563725897247074,1.1425362951193883,7.290164416628997e-05,False,False,True
42,200,20,4.0,gaussian,4.668957799614341,0.0066257206621094245,0.005120178696046973,0.005120178696046085,0.9444617215082568,2.6886300890690014,0.8890714215112782,0.0012920234681628173,False,False,True
42,200,50,4.0,gaussian,9.801573956742502,0.028980489415904365,0.021299480444572083,0.021299480444572083,0.9877137730300667,2.6386546117016905,0.7323117406638093,0.0007828617440894803,False,False,True
42,500,20,2.0,gaussian_mix,6.97199432704471,0.01473411940659164,0.010993293948758365,0.010993293948756144,0.9552701854634161,1.6471732051198176,0.7080846768643794,0.00391474732135122,False,False,True
7,200,5,0.5,gaussian_mix,43.8419608759942,0.47979390837650737,0.24660679608511704,0.24660679608511782,0.824550511544872,0.7652688845268841,0.6281529084096623,0.0004845627200170677,False,False,True
7,200,20,0.5,gaussian_mix,83.035691048799,0.9852981861031829,0.9843020957093764,0.9843020957093764,0.9409490088924052,0.8916176374493147,0.634427108818539,0.04692214310871756,False,False,False
