# script: ch04_shengyin_on_our_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_perturb: 500
# n_restarts: 3
# max_iter: 100
part,seed,config,nonlinearity,noise,n,p,k,method,angle,dcor2_u,dcov_v,seconds
single,42,cubic_p5_s1.0,cubic,1.0,200,5,1,Sheng-Yin (dcsol),4.9817,0.611735,0.742578,0.121
single,42,cubic_p20_s1.0,cubic,1.0,200,20,1,dCor-PP (this thesis),10.6406,0.589591,0.669631,0.053
single,42,cubic_p20_s1.0,cubic,1.0,200,20,1,Sheng-Yin (dcsol),8.5673,0.583599,0.671044,0.286
single,42,cubic_p2_s2.0,cubic,2.0,200,2,1,dCor-PP (this thesis),2.0496,0.298289,0.612162,0.034
single,42,cubic_p2_s2.0,cubic,2.0,200,2,1,Sheng-Yin (dcsol),1.1441,0.29821,0.61248,0.103
single,42,cubic_p5_s2.0,cubic,2.0,200,5,1,dCor-PP (this thesis),7.4013,0.41805,0.714412,0.042
single,42,cubic_p5_s2.0,cubic,2.0,200,5,1,Sheng-Yin (dcsol),8.0554,0.417886,0.715394,0.127
single,42,cubic_p20_s2.0,cubic,2.0,200,20,1,dCor-PP (this thesis),19.4356,0.355606,0.609994,0.052
single,42,cubic_p20_s2.0,cubic,2.0,200,20,1,Sheng-Yin (dcsol),17.3365,0.351663,0.61149,0.287
single,42,tanh_p2_s0.0,tanh,0.0,200,2,1,dCor-PP (this thesis),0.7661,0.919548,0.610453,0.046
single,42,tanh_p2_s0.0,tanh,0.0,200,2,1,Sheng-Yin (dcsol),1.681,0.919214,0.610795,0.103
single,42,tanh_p5_s0.0,tanh,0.0,200,5,1,dCor-PP (this thesis),1.041,0.920297,0.613484,0.044
single,42,tanh_p5_s0.0,tanh,0.0,200,5,1,Sheng-Yin (dcsol),1.9243,0.919539,0.614776,0.114
single,42,tanh_p20_s0.0,tanh,0.0,200,20,1,dCor-PP (this thesis),5.4088,0.936831,0.618393,0.05
single,42,tanh_p20_s0.0,tanh,0.0,200,20,1,Sheng-Yin (dcsol),8.5195,0.929398,0.621099,0.271
single,42,tanh_p2_s0.5,tanh,0.5,200,2,1,dCor-PP (this thesis),0.8408,0.63697,0.497432,0.042
single,42,tanh_p2_s0.5,tanh,0.5,200,2,1,Sheng-Yin (dcsol),1.9298,0.636699,0.497761,0.102
single,42,tanh_p5_s0.5,tanh,0.5,200,5,1,dCor-PP (this thesis),3.8073,0.69552,0.539344,0.043
single,42,tanh_p5_s0.5,tanh,0.5,200,5,1,Sheng-Yin (dcsol),4.6003,0.694966,0.540623,0.115
single,42,tanh_p20_s0.5,tanh,0.5,200,20,1,dCor-PP (this thesis),10.0641,0.671912,0.52372,0.057
single,42,tanh_p20_s0.5,tanh,0.5,200,20,1,Sheng-Yin (dcsol),12.1238,0.666497,0.524826,0.269
single,42,tanh_p2_s1.0,tanh,1.0,200,2,1,dCor-PP (this thesis),0.5932,0.28997,0.387621,0.03
single,42,tanh_p2_s1.0,tanh,1.0,200,2,1,Sheng-Yin (dcsol),1.9249,0.289823,0.387926,0.105
single,42,tanh_p5_s1.0,tanh,1.0,200,5,1,dCor-PP (this thesis),6.9971,0.400461,0.461934,0.044
single,42,tanh_p5_s1.0,tanh,1.0,200,5,1,Sheng-Yin (dcsol),7.8415,0.400077,0.462951,0.11
single,42,tanh_p20_s1.0,tanh,1.0,200,20,1,dCor-PP (this thesis),15.0106,0.366256,0.432634,0.053
single,42,tanh_p20_s1.0,tanh,1.0,200,20,1,Sheng-Yin (dcsol),15.7243,0.363098,0.433712,0.302
single,42,tanh_p2_s2.0,tanh,2.0,200,2,1,dCor-PP (this thesis),3.8667,0.078918,0.281064,0.03
single,42,tanh_p2_s2.0,tanh,2.0,200,2,1,Sheng-Yin (dcsol),1.0294,0.078835,0.281545,0.11
single,42,tanh_p5_s2.0,tanh,2.0,200,5,1,dCor-PP (this thesis),12.8324,0.163884,0.388197,0.042
single,42,tanh_p5_s2.0,tanh,2.0,200,5,1,Sheng-Yin (dcsol),13.8336,0.163726,0.388959,0.117
single,42,tanh_p20_s2.0,tanh,2.0,200,20,1,dCor-PP (this thesis),34.2467,0.142891,0.347726,0.052
single,42,tanh_p20_s2.0,tanh,2.0,200,20,1,Sheng-Yin (dcsol),33.9731,0.140727,0.348694,0.337
single,7,square_p2_s0.0,square,0.0,200,2,1,dCor-PP (this thesis),0.2589,0.348624,0.378131,0.042
single,7,square_p2_s0.0,square,0.0,200,2,1,Sheng-Yin (dcsol),0.0854,0.348576,0.378291,0.103
single,7,square_p5_s0.0,square,0.0,200,5,1,dCor-PP (this thesis),2.6117,0.330486,0.381507,0.043
single,7,square_p5_s0.0,square,0.0,200,5,1,Sheng-Yin (dcsol),2.7502,0.330421,0.381672,0.117
single,7,square_p20_s0.0,square,0.0,200,20,1,dCor-PP (this thesis),6.7618,0.286384,0.335881,0.049
single,7,square_p20_s0.0,square,0.0,200,20,1,Sheng-Yin (dcsol),5.8199,0.285188,0.335783,0.31
single,7,square_p2_s0.5,square,0.5,200,2,1,dCor-PP (this thesis),1.9301,0.277719,0.354089,0.042
single,7,square_p2_s0.5,square,0.5,200,2,1,Sheng-Yin (dcsol),2.1704,0.277699,0.354192,0.103
single,7,square_p5_s0.5,square,0.5,200,5,1,dCor-PP (this thesis),7.0257,0.261105,0.348274,0.046
single,7,square_p5_s0.5,square,0.5,200,5,1,Sheng-Yin (dcsol),6.7337,0.261068,0.348405,0.12
single,7,square_p20_s0.5,square,0.5,200,20,1,dCor-PP (this thesis),11.4823,0.229316,0.321591,0.051
single,7,square_p20_s0.5,square,0.5,200,20,1,Sheng-Yin (dcsol),9.5253,0.227789,0.32191,0.3
single,7,square_p2_s1.0,square,1.0,200,2,1,dCor-PP (this thesis),3.6093,0.183206,0.326512,0.042
single,7,square_p2_s1.0,square,1.0,200,2,1,Sheng-Yin (dcsol),3.9065,0.18319,0.326619,0.102
single,7,square_p5_s1.0,square,1.0,200,5,1,dCor-PP (this thesis),12.2965,0.170558,0.316938,0.041
single,7,square_p5_s1.0,square,1.0,200,5,1,Sheng-Yin (dcsol),12.034,0.170566,0.317052,0.113
single,7,square_p20_s1.0,square,1.0,200,20,1,dCor-PP (this thesis),20.8957,0.161834,0.31103,0.045
single,7,square_p20_s1.0,square,1.0,200,20,1,Sheng-Yin (dcsol),17.2561,0.160531,0.311717,0.326
single,7,square_p2_s2.0,square,2.0,200,2,1,dCor-PP (this thesis),7.5492,0.086619,0.29255,0.038
single,7,square_p2_s2.0,square,2.0,200,2,1,Sheng-Yin (dcsol),7.6274,0.086617,0.292572,0.104
single,7,square_p5_s2.0,square,2.0,200,5,1,dCor-PP (this thesis),20.6525,0.087789,0.289868,0.042
single,7,square_p5_s2.0,square,2.0,200,5,1,Sheng-Yin (dcsol),22.248,0.087803,0.289174,0.117
single,7,square_p20_s2.0,square,2.0,200,20,1,dCor-PP (this thesis),65.0901,0.133578,0.333476,0.05
single,7,square_p20_s2.0,square,2.0,200,20,1,Sheng-Yin (dcsol),66.7344,0.130944,0.333407,0.264
single,7,sine_p2_s0.0,sine,0.0,200,2,1,dCor-PP (this thesis),0.5883,0.03327,0.121526,0.041
single,7,sine_p2_s0.0,sine,0.0,200,2,1,Sheng-Yin (dcsol),0.6176,0.033269,0.12153,0.111
single,7,sine_p5_s0.0,sine,0.0,200,5,1,dCor-PP (this thesis),72.9477,0.010218,0.086122,0.034
single,7,sine_p5_s0.0,sine,0.0,200,5,1,Sheng-Yin (dcsol),74.2223,0.0102,0.08624,0.124
single,7,sine_p20_s0.0,sine,0.0,200,20,1,dCor-PP (this thesis),74.2175,0.103794,0.198822,0.046
single,7,sine_p20_s0.0,sine,0.0,200,20,1,Sheng-Yin (dcsol),75.3231,0.104383,0.200154,0.333
single,7,sine_p2_s0.5,sine,0.5,200,2,1,dCor-PP (this thesis),1.0859,0.023007,0.112,0.023
single,7,sine_p2_s0.5,sine,0.5,200,2,1,Sheng-Yin (dcsol),1.0037,0.023014,0.111997,0.107
single,7,sine_p5_s0.5,sine,0.5,200,5,1,dCor-PP (this thesis),81.9322,0.010857,0.091998,0.034
single,7,sine_p5_s0.5,sine,0.5,200,5,1,Sheng-Yin (dcsol),82.0118,0.010859,0.092026,0.12
single,7,sine_p20_s0.5,sine,0.5,200,20,1,dCor-PP (this thesis),75.1681,0.155832,0.232498,0.053
single,7,sine_p20_s0.5,sine,0.5,200,20,1,Sheng-Yin (dcsol),76.0996,0.154679,0.23312,0.373
single,7,sine_p2_s1.0,sine,1.0,200,2,1,dCor-PP (this thesis),54.6084,0.008665,0.098685,0.032
single,7,sine_p2_s1.0,sine,1.0,200,2,1,Sheng-Yin (dcsol),1.5004,0.011662,0.108205,0.102
single,7,sine_p5_s1.0,sine,1.0,200,5,1,dCor-PP (this thesis),81.0247,0.010456,0.107341,0.026
single,7,sine_p5_s1.0,sine,1.0,200,5,1,Sheng-Yin (dcsol),86.4788,0.005053,0.097412,0.125
single,7,sine_p20_s1.0,sine,1.0,200,20,1,dCor-PP (this thesis),70.5832,0.181607,0.28327,0.056
single,7,sine_p20_s1.0,sine,1.0,200,20,1,Sheng-Yin (dcsol),72.2292,0.179754,0.284466,0.279
single,7,sine_p2_s2.0,sine,2.0,200,2,1,dCor-PP (this thesis),56.1108,0.006934,0.123041,0.026
single,7,sine_p2_s2.0,sine,2.0,200,2,1,Sheng-Yin (dcsol),56.1924,0.006935,0.123052,0.104
single,7,sine_p5_s2.0,sine,2.0,200,5,1,dCor-PP (this thesis),84.9004,0.016443,0.15636,0.03
single,7,sine_p5_s2.0,sine,2.0,200,5,1,Sheng-Yin (dcsol),84.6149,0.016435,0.156499,0.131
single,7,sine_p20_s2.0,sine,2.0,200,20,1,dCor-PP (this thesis),66.4453,0.178597,0.370367,0.05
single,7,sine_p20_s2.0,sine,2.0,200,20,1,Sheng-Yin (dcsol),68.3663,0.176578,0.373016,0.334
single,7,abs_p2_s0.0,abs,0.0,200,2,1,dCor-PP (this thesis),0.1891,0.359733,0.294379,0.047
single,7,abs_p2_s0.0,abs,0.0,200,2,1,Sheng-Yin (dcsol),0.0679,0.359689,0.29447,0.107
single,7,abs_p5_s0.0,abs,0.0,200,5,1,dCor-PP (this thesis),2.0343,0.350313,0.292756,0.049
single,7,abs_p5_s0.0,abs,0.0,200,5,1,Sheng-Yin (dcsol),2.3876,0.350222,0.292824,0.113
single,7,abs_p20_s0.0,abs,0.0,200,20,1,dCor-PP (this thesis),6.0179,0.305654,0.265631,0.049
single,7,abs_p20_s0.0,abs,0.0,200,20,1,Sheng-Yin (dcsol),5.8076,0.304425,0.265761,0.347
single,7,abs_p2_s0.5,abs,0.5,200,2,1,dCor-PP (this thesis),2.7417,0.215539,0.258172,0.041
single,7,abs_p2_s0.5,abs,0.5,200,2,1,Sheng-Yin (dcsol),3.1377,0.215509,0.258288,0.103
single,7,abs_p5_s0.5,abs,0.5,200,5,1,dCor-PP (this thesis),8.1994,0.197629,0.246671,0.045
single,7,abs_p5_s0.5,abs,0.5,200,5,1,Sheng-Yin (dcsol),8.1588,0.197598,0.246645,0.113
single,7,abs_p20_s0.5,abs,0.5,200,20,1,dCor-PP (this thesis),13.3626,0.187989,0.243516,0.055
single,7,abs_p20_s0.5,abs,0.5,200,20,1,Sheng-Yin (dcsol),11.9314,0.187148,0.243797,0.32
single,7,abs_p2_s1.0,abs,1.0,200,2,1,dCor-PP (this thesis),5.9239,0.103532,0.2242,0.039
single,7,abs_p2_s1.0,abs,1.0,200,2,1,Sheng-Yin (dcsol),6.6245,0.10352,0.224378,0.104
single,7,abs_p5_s1.0,abs,1.0,200,5,1,dCor-PP (this thesis),16.0041,0.094843,0.21094,0.047
single,7,abs_p5_s1.0,abs,1.0,200,5,1,Sheng-Yin (dcsol),16.6095,0.094791,0.210799,0.118
single,7,abs_p20_s1.0,abs,1.0,200,20,1,dCor-PP (this thesis),63.9037,0.125983,0.232325,0.048
single,7,abs_p20_s1.0,abs,1.0,200,20,1,Sheng-Yin (dcsol),64.2289,0.124839,0.232698,0.319
single,7,abs_p2_s2.0,abs,2.0,200,2,1,dCor-PP (this thesis),10.0303,0.038221,0.200029,0.025
single,7,abs_p2_s2.0,abs,2.0,200,2,1,Sheng-Yin (dcsol),10.2628,0.038216,0.200074,0.104
single,7,abs_p5_s2.0,abs,2.0,200,5,1,dCor-PP (this thesis),30.9753,0.041904,0.199739,0.046
single,7,abs_p5_s2.0,abs,2.0,200,5,1,Sheng-Yin (dcsol),32.4679,0.041875,0.199464,0.114
single,7,abs_p20_s2.0,abs,2.0,200,20,1,dCor-PP (this thesis),64.9944,0.137162,0.325919,0.05
single,7,abs_p20_s2.0,abs,2.0,200,20,1,Sheng-Yin (dcsol),64.5763,0.133794,0.32783,0.303
single,7,cubic_p2_s0.0,cubic,0.0,200,2,1,dCor-PP (this thesis),0.3752,0.780018,0.682083,0.045
single,7,cubic_p2_s0.0,cubic,0.0,200,2,1,Sheng-Yin (dcsol),0.4797,0.779739,0.682791,0.107
single,7,cubic_p5_s0.0,cubic,0.0,200,5,1,dCor-PP (this thesis),2.3484,0.730486,0.705747,0.047
single,7,cubic_p5_s0.0,cubic,0.0,200,5,1,Sheng-Yin (dcsol),2.548,0.730102,0.706327,0.118
single,7,cubic_p20_s0.0,cubic,0.0,200,20,1,dCor-PP (this thesis),5.7178,0.800125,0.666926,0.049
