# script: ch04_joint_and_penalty.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 5
# joint_restarts: 20
# max_iter: 150
# lambdas: 0.0, 0.1, 0.5, 1.0, 2.0
seed,config,n,p,k,nonlinearity,noise,strategy,lam,mean_angle,inter_dcor,obj,restart_spread,time
2024,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.5,8.335095060890007,0.0031384343338900804,0.2763819350558039,0.0821283904248204,11.531659603118896
2024,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,1.0,7.904973383524384,0.0021217608372423786,0.275084311561872,0.08099600635037854,10.87296175956726
2024,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,2.0,7.4446377461032895,3.623484193420308e-05,0.27416754484758465,0.09900753696529219,13.5395827293396
2024,k2_p5_product_noisy,200,5,2,product,0.5,sequential,0.0,6.2446068261707595,0.0,nan,nan,0.359513521194458
2024,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.0,7.56308837823486,0.0,0.20672636625928292,0.10621445431481474,2.0960805416107178
2024,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.1,7.625590874366322,0.0,0.20534318159246628,0.0971421071486734,5.878445625305176
2024,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.5,7.513301011882073,0.0,0.20912681443346656,0.09331846329955754,5.574865818023682
2024,k2_p5_product_noisy,200,5,2,product,0.5,joint,1.0,6.9106701857222745,0.0,0.21828361025033338,0.11732013133735883,6.0740861892700195
2024,k2_p5_product_noisy,200,5,2,product,0.5,joint,2.0,6.687364592102204,0.0,0.21686942837843998,0.13640869903423158,6.069249868392944
5,k2_p5_product,200,5,2,product,0.0,sequential,0.0,8.97081913636733,0.0,nan,nan,0.3885014057159424
5,k2_p5_product,200,5,2,product,0.0,joint,0.0,8.516949764696506,0.0030628984724976,0.33575839985898814,0.226127437889252,2.4528963565826416
5,k2_p5_product,200,5,2,product,0.0,joint,0.1,8.99200801570678,0.004278556288474784,0.33137973748697647,0.22152628217751974,5.954444408416748
5,k2_p5_product,200,5,2,product,0.0,joint,0.5,8.756130906522483,0.00451433898607356,0.3265576755841193,0.23254434882056113,5.4247002601623535
5,k2_p5_product,200,5,2,product,0.0,joint,1.0,8.111495364277232,0.0022519325889619147,0.33325400645577263,0.239611019212059,5.6608617305755615
5,k2_p5_product,200,5,2,product,0.0,joint,2.0,7.4577100840581565,0.001259207799729022,0.33090265720207,0.2389714687809789,6.015755891799927
5,k2_p5_sumSq,200,5,2,sum_squares,0.0,sequential,0.0,8.639543788407575,0.34352506850508563,nan,nan,0.39856791496276855
5,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.0,8.687101935110457,0.004812829082516017,0.26354435395583653,0.014739980072651038,1.2474496364593506
5,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.1,8.59507474028289,0.004574334880208354,0.26310487751370804,0.014764617333734409,2.4762561321258545
5,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.5,8.72396882076639,0.002707107246707657,0.2616446076093534,0.013702117502801231,2.4160940647125244
5,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,1.0,7.860223723340457,4.313556999750627e-05,0.2608294350990484,0.12997479379419108,2.481279134750366
5,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,2.0,8.683216693888312,8.376614313069219e-06,0.2606505603486685,0.12109188630061321,2.3843913078308105
5,k2_p10_sumSq,300,10,2,sum_squares,0.0,sequential,0.0,10.368669275781425,0.14933231250963228,nan,nan,0.31632161140441895
5,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.0,11.31338643169967,0.0,0.2599388300966269,0.09892412196772615,2.180908203125
5,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.1,11.230034534325522,0.0,0.2599616638278396,0.10405930412962752,5.453085899353027
5,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.5,11.27574537039308,0.0,0.25996092314044933,0.10509241902460148,5.323426246643066
5,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,1.0,10.924867977189784,0.0,0.2597944170097752,0.11838100007856045,5.480242729187012
5,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,2.0,11.005601239087293,0.0,0.2593114197469475,0.1259935679797638,5.720142602920532
5,k2_p5_product_noisy,200,5,2,product,0.5,sequential,0.0,9.453689651125867,0.0,nan,nan,0.13815641403198242
5,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.0,9.871671208278972,0.0052966355682546925,0.26223353058936305,0.1714017966692238,1.0937118530273438
5,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.1,8.87781044151392,0.004735767879561765,0.26119808738625566,0.1695944048338127,2.801645040512085
