# script: ch03_derivative_free.py
# seeds: 20260808, 7, 123
# n_restarts: 3
# gradient_max_iter: 100
# derivative_free_max_iter: 2000
index,seed,n,p,solver,objective,angle_to_gradient,seconds,cost_ratio
dVar,123,200,50,Nelder-Mead,1.6046349222809984,18.57533441380883,33.0463547706604,647.990472272349
dVar,123,200,50,COBYLA,1.6705631144596012,0.2694169184439946,8.530154943466187,167.26380772503296
dVar,123,500,5,gradient,1.5210039718222839,0.0,0.977808952331543,1.0
dVar,123,500,5,Nelder-Mead,1.5210067173194561,0.10507818033892515,10.101258039474487,10.330502717722593
dVar,123,500,5,COBYLA,1.521006714586189,0.10486540666466213,0.9801206588745117,1.0023641699510488
dVar,123,500,20,gradient,1.520800741136601,0.0,0.8617100715637207,1.0
dVar,123,500,20,Nelder-Mead,1.5145614628390778,5.530465053333001,1619.802782535553,1879.7538011783279
dVar,123,500,20,COBYLA,1.5208199300265686,0.30834866202418415,4.994022369384766,5.795478704713588
dVar,123,500,50,gradient,1.6137353218794481,0.0,0.7380168437957764,1.0
dVar,123,500,50,Nelder-Mead,1.536185710575751,18.907678139480662,1028.4137363433838,1393.482743637713
dVar,123,500,50,COBYLA,1.613782964590499,0.48317405322917556,18.509339094161987,25.079832865283333
