# script: ch06_full_grid.py
# seeds: 0
block,maturity,method,d,spec,cp,mspe,r2,bench,dcor_tr,dcor_te
PCA_ours,2,"DvarSDR(joi,plain)",7,poly,True,2.7405584833077596,0.3931606776270773,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",8,linear,False,3.9737527192824,0.12009562206591617,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",8,linear,True,2.7892223886512264,0.3823850742153937,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",8,poly,False,3.8456489432991905,0.14846152233206766,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",8,poly,True,2.6064735307794673,0.4228509842664985,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,robust)",1,linear,False,4.55116290314033,-0.007759779246540477,4.516118818061029,0.12932800983178044,0.15484749309770185
PCA_ours,2,"DvarSDR(joi,robust)",1,linear,True,2.8408126723338003,0.3709614855630642,4.516118818061029,0.12932800983178044,0.15484749309770185
PCA_ours,2,"DvarSDR(joi,robust)",1,poly,False,4.55097965019363,-0.007719201716567925,4.516118818061029,0.12932800983178044,0.15484749309770185
PCA_ours,2,"DvarSDR(joi,robust)",1,poly,True,2.9132986730402077,0.35491097767639856,4.516118818061029,0.12932800983178044,0.15484749309770185
PCA_ours,2,"DvarSDR(joi,robust)",2,linear,False,4.176819258001312,0.07513078679479779,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",2,linear,True,2.801927073463158,0.3795718876444111,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",2,poly,False,4.188481905932595,0.07254833748353484,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",2,poly,True,2.8891733734613227,0.3602530203796158,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",3,linear,False,4.266517015710749,0.0552690955233649,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",3,linear,True,2.9313608098876256,0.35091149547163836,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",3,poly,False,4.292185553312677,0.049585335056462565,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",3,poly,True,3.081502602459444,0.31766573763830463,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",4,linear,False,3.7337632743449785,0.17323626220533117,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",4,linear,True,2.6782100101977333,0.4069664421832887,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",4,poly,False,3.740522524042166,0.17173956781585764,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",4,poly,True,2.7015338706505743,0.40180186140220664,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",5,linear,False,3.783638151732641,0.16219251437739513,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",5,linear,True,2.6343978194573614,0.4166677349316452,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",5,poly,False,3.877753667210845,0.14135260310185171,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",5,poly,True,2.619996504172807,0.4198566048141116,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",6,linear,False,3.9382805236472294,0.12795019743565816,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",6,linear,True,2.7445290295272047,0.3922814832614273,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",6,poly,False,3.929951604432955,0.12979446229002045,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",6,poly,True,2.7581817805097386,0.3892583672778679,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",7,linear,False,3.9508123027845174,0.1251752972077964,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",7,linear,True,2.7964598827249016,0.3807824826173315,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",7,poly,False,3.9409604780942127,0.12735677760882247,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",7,poly,True,2.813809531873447,0.37694076590271364,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",8,linear,False,3.973752719282401,0.12009562206591595,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",8,linear,True,2.789222388651226,0.3823850742153938,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",8,poly,False,3.9499240183856927,0.12537198919811177,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,"DvarSDR(joi,robust)",8,poly,True,2.8077915493388694,0.37827332219208987,4.516118818061029,0.1293280098317827,0.15484749309770535
PCA_ours,2,INPCA(k2),1,linear,False,4.633432330084317,-0.02597662212830265,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),1,linear,True,2.65375258773766,0.4123820265479564,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),1,poly,False,4.677798697348737,-0.03580062567023523,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),1,poly,True,2.6663807427850754,0.4095857858917292,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),2,linear,False,3.6769930147038554,0.18580684812837756,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),2,linear,True,2.508092962116549,0.44463530231177906,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),2,poly,False,3.6985335465182017,0.18103714815321292,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),2,poly,True,2.5170577127658826,0.4426502458926518,4.516118818061029,0.19882456940975,0.15253448189399507
PCA_ours,2,INPCA(k2),3,linear,False,3.6588473422696812,0.18982482754061214,4.516118818061029,0.19882456940975,0.15253448189399507
