# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
# K: 3
# budget: {'plain': {'n_starts': 20, 'max_iter': 300}, 'robust': {'n_starts': 8, 'max_iter': 80}}
method,basis,strategy,seed,direction,criterion,z_sep2001,z_oct2001,rank_sep2001,rank_oct2001,worse_rank,pair_isolated,sep_margin,dvar,dvar_biloop,top5_months,detail
dVar-PP (biloop),unit,joint,7,2,3.3547017329653954,-0.27872207242610453,5.611983292215588,366,1,366,False,0.09012512712042173,0.6211901962295195,3.3547017329653954,2001-10 1982-02 1970-12 1973-08 1975-04,-0.193 -0.791 +0.193 -0.275 -0.013 -0.231 -0.006 +0.414
dVar-PP (biloop),unit,joint,7,3,3.2904732337291405,6.380411607549467,-5.73754560047146,1,2,2,True,1.119859074761252,0.577534031551784,3.2904732337291405,2001-09 2001-10 1980-03 1970-05 1974-09,-0.246 +0.404 +0.171 -0.212 -0.427 +0.241 +0.382 +0.562
PCA,unit,-,123,1,1.002088544134248,-1.8718966332062985,-1.6780610066759092,47,59,59,False,0.28562297726419594,0.5677466764182445,3.0879345626718244,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,unit,-,123,2,1.0020850550525595,-0.039222097906704174,-2.460747637620141,469,30,469,False,0.006939093667109687,0.5755946699165762,3.0449099598250333,1980-03 1974-07 1973-08 1980-12 1974-08,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,unit,-,123,3,1.0020896536030257,-4.993178568357901,7.813223449688547,4,1,4,False,0.7275656416680796,0.5272300093483986,3.0927360290401102,2001-10 1973-08 1973-09 2001-09 2003-04,+0.000 +0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,unit,-,123,1,1.0063841520050487,2.1859958900100107,1.3866374918829518,12,80,80,False,0.3930734291350483,0.6485924502207826,3.4646825599315,1966-11 1966-10 1967-01 1966-07 1966-06,+0.015 -0.135 -0.210 +0.169 -0.473 -0.520 +0.571 +0.296
MCD-PCA,unit,-,123,2,0.7342679477535721,2.6051985827788533,1.6158219158413234,10,63,63,False,0.4455303103156392,0.6176734516005955,3.29938182146384,1981-09 1990-08 1973-10 1970-05 1974-12,-0.355 -0.214 +0.084 -0.414 -0.242 +0.171 -0.290 +0.691
MCD-PCA,unit,-,123,3,0.6253185270989883,-1.6678089206640767,2.939907490220905,70,11,70,False,0.4096955435165419,0.5805981274060666,3.1073202613827977,1973-09 2003-04 1982-05 1982-10 1980-05,-0.136 -0.325 -0.383 -0.471 +0.563 -0.427 +0.046 -0.083
MCD distance,unit,-,123,0,17.534546139484647,18.433146619939144,30.877282247230738,2,1,2,True,1.938067965797475,,,2001-10 2001-09 1980-05 1980-04 1980-03,flagged at chi2_0.975: 115 of 480 months
dVar-PP,unit,sequential,123,1,0.6771123479651003,-0.9944865846558157,-1.0028794973961208,134,128,134,False,0.34295385260158323,0.6771123479651002,3.3821783067727464,1966-10 1966-11 1967-01 1966-09 1981-01,-0.061 -0.091 +0.255 -0.328 +0.311 +0.593 -0.586 -0.154
