# script: ch04_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,angle_dcor,angle_ols,angle_sir,angle_save,dcor_found,dcor_ols,dcor_sir,dcor_save,spread
7,cubic,0.5,500,5,3.0837,1.7408,0.9466,1.377,0.616196,0.6157,0.614631,0.615052,1e-06
123,cubic,0.5,500,5,0.8684,2.3109,3.5894,3.8607,0.687002,0.685291,0.684341,0.68384,3.8e-05
2024,cubic,0.5,500,5,3.0759,3.4675,1.0233,2.3112,0.682975,0.682382,0.681101,0.680357,0.012824
5,cubic,0.5,500,5,3.7758,4.276,5.8972,6.5063,0.692503,0.690021,0.691018,0.690248,0.000236
42,cubic,0.5,1000,5,0.9173,3.8699,2.4569,2.113,0.671978,0.667422,0.671152,0.671372,3.6e-05
7,cubic,0.5,1000,5,1.1433,1.1198,2.1459,2.2571,0.652856,0.65249,0.652362,0.652401,2.5e-05
123,cubic,0.5,1000,5,1.0168,1.6065,1.1164,1.2241,0.666167,0.665562,0.665542,0.665641,0.00012
2024,cubic,0.5,1000,5,1.4382,3.3111,2.5636,2.1124,0.66789,0.666252,0.667022,0.667349,7.4e-05
5,cubic,0.5,1000,5,1.5271,3.5475,3.194,2.7359,0.682778,0.680093,0.681726,0.682092,4.9e-05
42,cubic,1.0,200,2,1.4661,3.556,3.5453,0.4338,0.507171,0.506421,0.502725,0.507032,0.0
7,cubic,1.0,200,2,2.4911,1.8792,4.4109,2.7463,0.565757,0.56566,0.564983,0.565739,5e-06
123,cubic,1.0,200,2,1.7599,0.824,4.9193,5.5544,0.553255,0.551885,0.551196,0.550332,1e-06
2024,cubic,1.0,200,2,1.9098,3.3938,1.613,5.3378,0.513841,0.509018,0.513829,0.510767,0.0
5,cubic,1.0,200,2,1.3817,1.1042,0.0031,1.3861,0.519877,0.518799,0.51951,0.519877,1e-06
42,cubic,1.0,200,5,4.099,4.591,7.8675,4.5573,0.612151,0.608267,0.607706,0.609148,9e-06
7,cubic,1.0,200,5,7.0555,5.3198,11.7275,12.5023,0.481526,0.473034,0.477285,0.444249,0.000168
123,cubic,1.0,200,5,6.5336,5.4221,10.0407,14.4322,0.584028,0.580336,0.580715,0.572855,8e-05
2024,cubic,1.0,200,5,6.8341,3.9944,10.2492,13.9656,0.552459,0.547093,0.549228,0.541454,8e-05
5,cubic,1.0,200,5,3.6002,4.513,5.591,24.2891,0.507553,0.50239,0.505698,0.42984,8e-06
42,cubic,1.0,200,20,10.6406,12.9709,11.7179,80.4671,0.589591,0.578142,0.572208,0.00589,0.000431
7,cubic,1.0,200,20,17.6846,17.5782,27.0583,70.4231,0.494968,0.450643,0.461975,0.045541,0.000381
123,cubic,1.0,200,20,10.7786,14.0052,15.5299,74.8952,0.627926,0.589944,0.609585,0.023,0.000107
2024,cubic,1.0,200,20,16.9124,16.8973,16.6055,87.7272,0.577103,0.547758,0.561309,0.0,9.1e-05
5,cubic,1.0,200,20,17.0452,15.1522,14.6854,82.2694,0.642082,0.63125,0.612115,0.0,3e-05
42,cubic,2.0,200,2,2.0496,4.5964,1.6674,17.8577,0.298289,0.297558,0.297118,0.269076,0.0
7,cubic,2.0,200,2,4.1646,2.9709,7.1438,5.5107,0.343377,0.343192,0.342434,0.332338,1e-06
123,cubic,2.0,200,2,4.9078,0.8606,15.4985,4.5686,0.342351,0.340753,0.328955,0.342339,2e-06
2024,cubic,2.0,200,2,2.1344,3.6316,1.515,2.418,0.343004,0.337904,0.342828,0.342997,7e-06
5,cubic,2.0,200,2,1.1139,1.4209,5.7614,0.5119,0.338314,0.337687,0.335481,0.338273,0.0
42,cubic,2.0,200,5,7.4013,7.4354,10.207,24.9937,0.41805,0.415561,0.412761,0.308169,7.6e-05
7,cubic,2.0,200,5,14.4165,8.1555,14.6184,28.1214,0.294339,0.286107,0.293498,0.198673,9.2e-05
123,cubic,2.0,200,5,8.8302,6.7899,10.4066,28.8694,0.417695,0.414656,0.417136,0.31942,0.000177
2024,cubic,2.0,200,5,11.6334,5.3616,15.1391,14.3544,0.335403,0.330022,0.330176,0.322651,4.2e-05
5,cubic,2.0,200,5,5.4128,5.5671,8.6876,12.2294,0.330834,0.328071,0.326466,0.314923,0.000248
42,cubic,2.0,200,20,19.4356,17.4326,23.724,76.3845,0.355606,0.349619,0.334835,0.020349,0.001045
7,cubic,2.0,200,20,31.5221,24.262,33.9127,80.3362,0.307988,0.272012,0.29846,0.008223,0.000146
123,cubic,2.0,200,20,17.2719,14.7499,18.966,86.2241,0.456829,0.426689,0.442494,0.0,0.000137
2024,cubic,2.0,200,20,29.1141,21.0698,27.6522,80.1424,0.417079,0.381656,0.395545,0.0249,0.000123
5,cubic,2.0,200,20,23.636,19.2157,20.068,77.2414,0.515505,0.506423,0.495178,0.003232,0.000221
42,sine,0.0,200,2,40.9003,32.5749,50.9596,88.1214,0.00221,0.00146,0.000556,0.0,0.00221
7,sine,0.0,200,2,0.5883,10.3491,57.9626,68.3646,0.03327,0.015301,0.002057,0.0,3e-06
123,sine,0.0,200,2,1.2645,75.263,54.3448,18.2291,0.024755,0.006604,0.004048,0.0,0.024156
2024,sine,0.0,200,2,0.6738,61.2975,35.8677,72.6335,0.01703,0.0,0.0,0.003279,0.01703
5,sine,0.0,200,2,0.2093,3.6157,3.0046,59.3222,0.028396,0.023021,0.02435,0.000262,1e-06
42,sine,0.0,200,5,80.556,86.7972,73.4367,60.0902,0.032398,0.026355,0.023336,0.008329,0.00656
7,sine,0.0,200,5,72.9477,80.6307,84.19,32.3259,0.010218,0.005483,0.0,0.0,0.005397
123,sine,0.0,200,5,46.6745,46.2805,41.9351,73.1413,0.069265,0.067466,0.059067,0.0,7.9e-05
2024,sine,0.0,200,5,48.2501,51.1243,65.7641,73.0146,0.033507,0.032695,0.017888,0.007323,0.000254
5,sine,0.0,200,5,84.3008,69.4834,50.9886,66.445,0.019989,0.014894,0.013079,0.0,0.014655
42,sine,0.0,200,20,68.0279,69.4895,66.545,85.817,0.13729,0.119229,0.107236,0.0,0.005978
7,sine,0.0,200,20,74.2175,88.8081,76.8074,89.9886,0.103794,0.062361,0.001003,0.000291,0.025627
