# script: ch05_multigroup.py
# seeds: 42, 7, 123, 2024, 5
# n: 400
# k: 2
# n_starts: 20
# max_iter: 300
# index_fun: plain
seed,n_groups,p,sigma,strategy,MSS_dVar,MSS_PCA,MSS_FastICA,pair_dir1,pair_dir2,sep_cos_dir1,sep_cos_dir2,distinct_pairs,restart_spread,elapsed
123,5,10,1.0,sequential,0.059283807196689575,0.031761768869071894,0.03176176886907217,1-3,0-1,0.9775345103550594,0.9385926288530645,True,0.00047357841018680347,1.6518888473510742
123,5,10,1.0,joint,0.03520328167318593,0.031761768869071894,0.03176176886907217,0-2,1-4,0.9791463570174658,0.9478088664300592,True,0.0012480423349829906,1.7712945938110352
123,5,10,2.0,sequential,0.008164258968384797,0.005068973514676556,0.005068973514676223,1-3,3-4,0.9820525865241783,0.9844837637755898,True,0.0002760048336403198,1.9181172847747803
123,5,10,2.0,joint,0.0054853601650454165,0.005068973514676556,0.005068973514676223,0-1,1-3,0.997845630234344,0.9562957446956017,True,0.010871101227667879,2.3084092140197754
123,5,10,4.0,sequential,0.0013795898329084788,0.0010451411133711175,0.0010451411133725608,1-3,3-4,0.9854172810302064,0.9885366581627335,True,0.048060534595968374,1.94441819190979
123,5,10,4.0,joint,0.0012373923992132774,0.0010451411133711175,0.0010451411133725608,0-1,1-3,0.9988478274280395,0.9620489566329509,True,0.0003600518721791346,2.4238839149475098
123,5,50,1.0,sequential,0.2774020036561158,0.22107445402966314,0.2210744540296607,0-1,0-3,0.8219159221157961,0.8350556218412193,True,0.03100277416216557,1.6345751285552979
123,5,50,1.0,joint,0.2770427357187161,0.22107445402966314,0.2210744540296607,0-1,0-3,0.822240293602255,0.8346824143392932,True,0.05166658208585684,2.0720269680023193
123,5,50,2.0,sequential,0.04953373316851373,0.03594055406266272,0.03594055406266228,1-3,0-1,0.9470561537233055,0.9696789215418331,True,0.047050877213179465,1.5792264938354492
123,5,50,2.0,joint,0.049536102893013634,0.03594055406266272,0.03594055406266228,0-1,1-3,0.9697013583946813,0.9469555885806217,True,0.000559310187868256,1.681227445602417
123,5,50,4.0,sequential,0.01039785957003403,0.0072968183857460844,0.007296818385746973,0-4,0-1,0.9654226566703525,0.9918237516379577,True,0.07834201827371734,1.5490515232086182
123,5,50,4.0,joint,0.010295276821271404,0.0072968183857460844,0.007296818385746973,0-1,1-3,0.9925307259796229,0.9628927783409647,True,0.0020391538047856983,1.6299402713775635
2024,3,10,1.0,sequential,0.055763447430570046,0.054927215759829395,0.05492721575982906,0-2,0-1,0.8844726442558434,0.9727341433782455,True,0.0008996735545826473,1.558521032333374
2024,3,10,1.0,joint,0.05583703498026715,0.054927215759829395,0.05492721575982906,0-2,0-1,0.8946756580267823,0.9697866868047159,True,7.794103209279868e-05,1.9555773735046387
2024,3,10,2.0,sequential,0.009587932950158362,0.009742129792191967,0.009742129792192078,0-2,0-1,0.9811432801588628,0.9347211447779176,True,0.0010220513876006976,1.8703069686889648
2024,3,10,2.0,joint,0.008703018872047996,0.009742129792191967,0.009742129792192078,0-2,1-2,0.9641327259630811,0.9587168988456408,True,0.014755280687963168,2.038018226623535
2024,3,10,4.0,sequential,0.002093378777901167,0.0019694577103666067,0.0019694577103664956,0-2,1-2,0.9471090308848804,0.9786628165333527,True,0.014279730713843364,1.9063684940338135
2024,3,10,4.0,joint,0.002224046497820542,0.0019694577103666067,0.0019694577103664956,0-2,1-2,0.892977730032435,0.9968077528730067,True,0.0010208940270466371,1.9643418788909912
2024,3,50,1.0,sequential,0.37229621412273795,0.22024976908516608,0.2202497690851667,1-2,0-1,0.8373608103003187,0.6697037164210206,True,0.09325679298844558,1.8220996856689453
2024,3,50,1.0,joint,0.3779297142675963,0.22024976908516608,0.2202497690851667,1-2,0-1,0.8471827101135325,0.6542375905600829,True,0.08363936205241007,1.7529408931732178
2024,3,50,2.0,sequential,0.05069185337666654,0.03470486274417689,0.03470486274417667,1-2,0-1,0.8753203679780537,0.9696973906420859,True,0.001571701817709048,1.6905510425567627
2024,3,50,2.0,joint,0.0467212712192161,0.03470486274417689,0.03470486274417667,0-1,1-2,0.929222671931433,0.9539527642547541,True,0.001445634540790497,1.9336886405944824
2024,3,50,4.0,sequential,0.012943642553955359,0.007665224655718339,0.007665224655716896,0-2,0-1,0.8683157166306023,0.9932195195750907,True,0.033203122672942786,1.7212786674499512
2024,3,50,4.0,joint,0.011534424946693211,0.007665224655718339,0.007665224655716896,0-1,1-2,0.9215912865864669,0.9845015521928446,True,0.0008582423149245955,1.8500430583953857
2024,5,10,1.0,sequential,0.04838060152675738,0.05298836578432298,0.052988365784323255,1-3,3-4,0.9693492930918493,0.9505275039778953,True,0.0005406259341739217,1.61653470993042
2024,5,10,1.0,joint,0.06498504289084311,0.05298836578432298,0.052988365784323255,2-4,1-2,0.9590872255333593,0.9452486796350312,True,0.0006191604215479707,2.1129002571105957
2024,5,10,2.0,sequential,0.011021343194781541,0.009276600065364238,0.00927660006536557,1-3,0-1,0.993772989899375,0.9499022329813893,True,0.0017785924909321515,1.9336719512939453
2024,5,10,2.0,joint,0.01122939966804909,0.009276600065364238,0.00927660006536557,1-2,2-4,0.9940637777536598,0.9584441910410877,True,0.02692748278692836,1.737778902053833
2024,5,10,4.0,sequential,0.0021889047655944127,0.0018147458506519998,0.0018147458506516667,1-3,2-4,0.9879475095171778,0.9850064913808142,True,0.00041658410008738045,2.081212043762207
2024,5,10,4.0,joint,0.0028462951962667793,0.0018147458506519998,0.0018147458506516667,1-2,1-4,0.9983626654754815,0.9554604604556143,True,0.0004801629051645051,2.385730743408203
2024,5,50,1.0,sequential,0.378260095654755,0.27475506637968483,0.27475506637968644,2-3,0-2,0.8372969887050188,0.6988311328243341,True,0.06975623755490978,1.9424059391021729
2024,5,50,1.0,joint,0.3726008012791022,0.27475506637968483,0.27475506637968644,3-4,1-4,0.6979860859500776,0.8384350427059251,True,0.001972772215014018,2.028437614440918
2024,5,50,2.0,sequential,0.059008425612685156,0.04212964901302607,0.04212964901302646,1-3,0-2,0.9479835723451207,0.9635278870013938,True,0.0018485643843872968,1.6360549926757812
2024,5,50,2.0,joint,0.05868838736200904,0.04212964901302607,0.04212964901302646,0-2,1-4,0.9540899661294305,0.9591809509440345,True,0.00025055951951902244,1.7503635883331299
2024,5,50,4.0,sequential,0.015217053666450153,0.008685970500502016,0.008685970500503959,1-3,3-4,0.9862658754187164,0.9736717008034473,True,0.0004933550343189097,1.7447762489318848
2024,5,50,4.0,joint,0.013088802210476924,0.008685970500502016,0.008685970500503959,3-4,1-4,0.9693363998060703,0.9889541766546761,True,0.0009214667529944265,1.7499208450317383
5,3,10,1.0,sequential,0.018122206483136005,0.030045617855739615,0.03004561785573895,0-1,0-2,0.9515903061329776,0.9620126523259067,True,0.0015601038916321919,2.067594289779663
5,3,10,1.0,joint,0.015812527976886703,0.030045617855739615,0.03004561785573895,0-2,0-1,0.8976797019339796,0.9860768150978441,True,0.03473238540149359,2.111311912536621
5,3,10,2.0,sequential,0.0036985473586482742,0.005330284951022335,0.005330284951021058,1-2,0-1,0.9310441534801618,0.9854121171266035,True,0.06665132258358297,1.8054680824279785
