# script: ch04_master_grid.py
# seeds: 42, 7, 123, 2024, 5
# sizes: [(500, 6), (500, 20)]
# noise_sd: 0.5
# n_restarts: 5
# joint_restarts: 20
# parts: (1,)
# n_perturb: 500
# max_iter: 150
# single_models: ['A', 'B', 'C', 'square', 'cubic', 'sum_squares']
# multi_models: ['A', 'B', 'sum_squares', 'product']
grid,model,k,part,n,p,seed,method,angle_mean,angle_max,dcor2_u,seconds
multi,A,2,1,500,20,123,Sheng-Yin,7.7405,7.9052,0.289246,16.222
multi,A,2,1,500,20,123,SIR,46.1945,80.7613,0.205153,0.0
multi,A,2,1,500,20,123,OLS,19.5963,19.5963,0.385818,0.0
multi,A,2,1,500,20,123,dCor-SDR (joint),9.3733,11.9257,0.288155,6.738
multi,A,2,1,500,20,2024,dCor-SDR,8.8366,9.8382,0.342171,1.114
multi,A,2,1,500,20,2024,Sheng-Yin,7.4463,7.9874,0.309636,17.278
multi,A,2,1,500,20,2024,SIR,43.6772,78.7183,0.241202,0.0
multi,A,2,1,500,20,2024,OLS,18.3363,18.3363,0.455703,0.0
multi,A,2,1,500,20,2024,dCor-SDR (joint),10.7384,14.3652,0.337314,6.521
multi,A,2,1,500,20,5,dCor-SDR,8.1262,8.9043,0.280233,1.109
multi,A,2,1,500,20,5,Sheng-Yin,7.2446,8.4109,0.278748,12.594
multi,A,2,1,500,20,5,SIR,49.4954,87.6272,0.192769,0.0
multi,A,2,1,500,20,5,OLS,16.449,16.449,0.360846,0.001
multi,A,2,1,500,20,5,dCor-SDR (joint),7.6587,8.3255,0.280277,6.495
multi,B,2,1,500,6,42,dCor-SDR,5.2784,6.6908,0.291069,0.882
multi,B,2,1,500,6,42,Sheng-Yin,4.7235,7.922,0.256978,3.175
multi,B,2,1,500,6,42,SIR,5.641,8.2891,0.255917,0.0
multi,B,2,1,500,6,42,OLS,6.9719,6.9719,0.421408,0.0
multi,B,2,1,500,6,42,dCor-SDR (joint),7.0367,10.6983,0.266524,5.623
multi,B,2,1,500,6,7,dCor-SDR,6.5311,8.5342,0.29169,0.979
multi,B,2,1,500,6,7,Sheng-Yin,6.6877,9.1585,0.247719,2.606
multi,B,2,1,500,6,7,SIR,6.7149,9.8395,0.246974,0.001
multi,B,2,1,500,6,7,OLS,9.541,9.541,0.39913,0.0
multi,B,2,1,500,6,7,dCor-SDR (joint),8.8714,11.1168,0.266319,5.602
multi,B,2,1,500,6,123,dCor-SDR,2.6959,4.8177,0.272183,0.854
multi,B,2,1,500,6,123,Sheng-Yin,3.5702,5.9385,0.250715,3.056
multi,B,2,1,500,6,123,SIR,3.4091,5.3948,0.239336,0.0
multi,B,2,1,500,6,123,OLS,4.2487,4.2487,0.399138,0.0
multi,B,2,1,500,6,123,dCor-SDR (joint),6.5261,11.3058,0.255944,5.614
multi,B,2,1,500,6,2024,dCor-SDR,5.3245,6.4953,0.289468,0.829
multi,B,2,1,500,6,2024,Sheng-Yin,5.201,6.3265,0.246872,3.318
multi,B,2,1,500,6,2024,SIR,7.3989,7.9821,0.242835,0.001
multi,B,2,1,500,6,2024,OLS,9.1879,9.1879,0.374672,0.0
multi,B,2,1,500,6,2024,dCor-SDR (joint),5.6422,6.1452,0.250323,5.92
multi,B,2,1,500,6,5,dCor-SDR,4.8204,6.8858,0.242778,0.803
multi,B,2,1,500,6,5,Sheng-Yin,4.6285,6.4038,0.23614,3.279
multi,B,2,1,500,6,5,SIR,5.1128,5.45,0.237615,0.001
multi,B,2,1,500,6,5,OLS,5.4461,5.4461,0.397359,0.0
multi,B,2,1,500,6,5,dCor-SDR (joint),8.167,12.9188,0.244034,5.39
multi,B,2,1,500,20,42,dCor-SDR,9.5721,12.198,0.301431,1.058
multi,B,2,1,500,20,42,Sheng-Yin,11.4298,14.3402,0.253929,11.416
multi,B,2,1,500,20,42,SIR,14.4101,16.9006,0.250242,0.001
multi,B,2,1,500,20,42,OLS,16.2215,16.2215,0.41422,0.001
multi,B,2,1,500,20,42,dCor-SDR (joint),17.8767,21.9952,0.267958,6.569
multi,B,2,1,500,20,7,dCor-SDR,10.6058,14.051,0.359839,0.98
multi,B,2,1,500,20,7,Sheng-Yin,10.3298,12.9242,0.256041,4.305
multi,B,2,1,500,20,7,SIR,11.2829,14.2216,0.2539,0.0
multi,B,2,1,500,20,7,OLS,15.7844,15.7844,0.42594,0.0
multi,B,2,1,500,20,7,dCor-SDR (joint),16.3187,21.8808,0.273982,6.601
multi,B,2,1,500,20,123,dCor-SDR,12.2529,14.7374,0.311543,1.019
multi,B,2,1,500,20,123,Sheng-Yin,10.9494,14.8747,0.275691,4.184
multi,B,2,1,500,20,123,SIR,14.9874,18.6512,0.264446,0.0
multi,B,2,1,500,20,123,OLS,14.4885,14.4885,0.449937,0.001
