# script: ch03_sir_initialisation.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
# n_restarts: 3
seed,p,nonlinearity,noise,start,angle,dcor2,spread
42,20,tanh,1.0,random,14.66974544672207,0.3663830589842917,0.00018123617604970388
42,20,tanh,1.0,sir,14.66974544672207,0.3663830589842917,0.00011758399200595404
42,20,tanh,2.0,sir1,82.31985142369622,0.014627378553862926,
42,20,tanh,2.0,random,34.40979824600956,0.14337713666635823,0.0008292559531699051
42,20,tanh,2.0,sir,34.48344827614807,0.14339102356419214,0.0008431428510038141
7,5,square,0.0,sir1,36.62012892757171,0.1452338599070179,
7,5,square,0.0,random,2.5306334043887677,0.3304856590209954,2.3498086255069328e-05
7,5,square,0.0,sir,2.5306334043887677,0.3304856590209954,2.3498086255069328e-05
7,5,square,0.5,sir1,54.77772030660638,0.07672879040014685,
7,5,square,0.5,random,6.979713014634456,0.26110662423625175,5.696751577893844e-05
7,5,square,0.5,sir,6.979713014634456,0.26110662423625175,0.0006246376723733071
7,5,square,1.0,sir1,50.372169620612084,0.0780124981915683,
7,5,square,1.0,random,12.116448762495398,0.1705744752914027,5.559034216578995e-05
7,5,square,1.0,sir,12.116448762495398,0.1705744752914027,5.559034216578995e-05
7,5,square,2.0,sir1,57.37647477857797,0.05945577819712812,
7,5,square,2.0,random,22.35187964550881,0.08783820461579875,0.0004832581588984919
7,5,square,2.0,sir,21.5768540190374,0.08785569878878209,0.0005007523318818347
7,5,sine,0.0,sir1,84.18995152540079,0.0,
7,5,sine,0.0,random,72.92011657523376,0.010164525230098672,0.005215241562033516
7,5,sine,0.0,sir,88.87815448193496,0.009790289201521508,0.004841005533456353
7,5,sine,0.5,sir1,87.36324867303571,0.0,
7,5,sine,0.5,random,82.18081776253133,0.01085920320061672,0.005261292455066514
7,5,sine,0.5,sir,82.18081776253133,0.01085920320061672,0.005261292455066514
7,5,sine,1.0,sir1,86.97970274806411,0.0002117900309486954,
7,5,sine,1.0,random,81.11008887838673,0.010471276915963357,0.003925672381589017
7,5,sine,1.0,sir,81.11008887838673,0.010471276915963357,0.005415781844937505
7,5,sine,2.0,sir1,72.83141270059348,0.004073028387400793,
7,5,sine,2.0,random,84.75896674136831,0.0187020314348189,0.011557701268427771
