# script: ch06_dcor_linear_vs_poly.py
# seeds: 0
maturity,d,anchor,r2_anchor,r2_dcorlin,mspe_anchor,mspe_dcorlin,DM,p
3,2,INPCA(k3)+lin,0.01421150108355873,0.2525557622867737,15.749877090328726,11.9418667277996,2.361377274849522,0.018207197173313094
3,2,INPCA(k4)+lin,0.04675540904252784,0.2525557622867737,15.229925243704288,11.9418667277996,2.4617977041529575,0.013824261553850636
3,2,PCA+poly,0.2388388141768838,0.2525557622867737,12.161021492764547,11.9418667277996,0.21582200153489398,0.8291264977092712
3,3,INPCA(k3)+lin,0.18145165930358975,0.23989500572742095,13.077892238174464,12.144146790814698,0.9363428074937367,0.3490967144740673
3,3,INPCA(k4)+lin,0.19269252930931502,0.23989500572742095,12.898297607913372,12.144146790814698,1.372163257169016,0.17001262079341828
3,3,PCA+poly,0.21978864688235578,0.23989500572742095,12.465384744890954,12.144146790814698,0.3543640420848596,0.723066078668197
3,4,INPCA(k3)+lin,0.20181043886403272,0.21187293420479492,12.752621375166301,12.591853558324035,0.25310283662275973,0.8001887469252831
3,4,INPCA(k4)+lin,0.20171334364579174,0.21187293420479492,12.754172658991417,12.591853558324035,0.2416335324765179,0.809064136715038
3,4,PCA+poly,0.23338343533178252,0.21187293420479492,12.248181716672585,12.591853558324035,-0.450620256304498,0.6522632647714139
3,5,INPCA(k3)+lin,0.18350534015758935,0.21063778974695224,13.045080716160555,12.61158737893688,0.723863727142017,0.4691494007777308
3,5,INPCA(k4)+lin,0.1877127237651458,0.21063778974695224,12.977859628915455,12.61158737893688,0.5690757789630503,0.569304714795781
3,5,PCA+poly,0.21961477996940904,0.21063778974695224,12.468162604961341,12.61158737893688,-0.1986816968850027,0.8425117423585968
3,6,INPCA(k3)+lin,0.14496828319893984,0.2028818194332116,13.66078470458087,12.735503999278794,0.9682013237766914,0.3329438339244819
3,6,INPCA(k4)+lin,0.14591444449819269,0.2028818194332116,13.64566794861624,12.735503999278794,1.0227557517230244,0.3064233439418129
3,6,PCA+poly,0.19286549371669504,0.2028818194332116,12.895534167114224,12.735503999278794,0.30056894723585337,0.7637432135932893
3,7,INPCA(k3)+lin,0.18832073822689754,0.20307035905805892,12.968145422417553,12.732491714269113,0.3732829200930325,0.7089378870714498
3,7,INPCA(k4)+lin,0.19568135337606263,0.20307035905805892,12.850545365167962,12.732491714269113,0.23005022112236206,0.8180527452581394
3,7,PCA+poly,0.2268441507135336,0.20307035905805892,12.352659430816447,12.732491714269113,-0.8425577849304157,0.3994758092597799
3,8,INPCA(k3)+lin,0.2303354611416244,0.20424166803307897,12.296878996994126,12.713777788907189,-0.812623125507519,0.4164341686007602
3,8,INPCA(k4)+lin,0.2269964703606756,0.20424166803307897,12.350225829974514,12.713777788907189,-0.6867835982216276,0.492219107079354
3,8,PCA+poly,0.2858808799470465,0.20424166803307897,11.409433545887898,12.713777788907189,-1.9119472603976815,0.05588295899520501
4,1,INPCA(k3)+lin,0.054287367401896325,0.21879367352658008,31.070374613608102,25.665696298639524,1.9100080350861655,0.05613217876732368
4,1,INPCA(k4)+lin,-0.05157969418105868,0.21879367352658008,34.54852341826955,25.665696298639524,2.309447207543265,0.020918777993786275
4,1,PCA+poly,0.11900038217827447,0.21879367352658008,28.944297894135445,25.665696298639524,1.7987734833704394,0.0720545194813691
4,2,INPCA(k3)+lin,0.03370092803790037,0.2575607458914825,31.74672000749638,24.392045699576155,2.4142398180874687,0.015768080066905332
4,2,INPCA(k4)+lin,0.058991881609929075,0.2575607458914825,30.915812843171505,24.392045699576155,2.502870842558658,0.012319049103607371
4,2,PCA+poly,0.22517432506378232,0.2575607458914825,25.45606683329641,24.392045699576155,0.537209286474272,0.5911230573345048
4,3,INPCA(k3)+lin,0.1748392687423581,0.260050860103335,27.109771142825636,24.31023566688115,1.4365574393579998,0.15084378427135325
4,3,INPCA(k4)+lin,0.18131041732408093,0.260050860103335,26.897168494109735,24.31023566688115,2.151658835101056,0.03142423455685939
4,3,PCA+poly,0.21208977747652125,0.260050860103335,25.8859456158912,24.31023566688115,0.9524032814269,0.34089249592199256
4,4,INPCA(k3)+lin,0.19227309902139667,0.2595831758694329,26.53700134040513,24.32560093096597,1.493592175099365,0.1352822458964522
4,4,INPCA(k4)+lin,0.19066407015413156,0.2595831758694329,26.58986425874502,24.32560093096597,1.5397923188376508,0.12361098485663868
4,4,PCA+poly,0.22397486493907526,0.2595831758694329,25.495473809712017,24.32560093096597,0.8310310533433416,0.40595608694165763
4,5,INPCA(k3)+lin,0.18191643565235915,0.197897085444108,26.877258411666837,26.352231296152432,0.32159844078333166,0.7477569252109899
4,5,INPCA(k4)+lin,0.183429325894088,0.197897085444108,26.82755402479548,26.352231296152432,0.27223445839716215,0.7854417480494984
4,5,PCA+poly,0.21680975894220356,0.197897085444108,25.730875685287494,26.352231296152432,-0.330988119274753,0.7406534596953223
4,6,INPCA(k3)+lin,0.1435159891714266,0.19994724320998047,28.13886391038435,26.284875560797964,1.04684018516799,0.2951732929954698
4,6,INPCA(k4)+lin,0.14126515199898226,0.19994724320998047,28.212812752486577,26.284875560797964,1.1293586773585338,0.2587465572331342
4,6,PCA+poly,0.18896792708775423,0.19994724320998047,26.645589220698675,26.284875560797964,0.3521159659225559,0.7247512951380788
4,7,INPCA(k3)+lin,0.19497971383461077,0.19992870130553442,26.44807841256999,26.28548473518914,0.15722660026645788,0.8750662650309251
4,7,INPCA(k4)+lin,0.19891317476035109,0.19992870130553442,26.318848771050884,26.28548473518914,0.03714541404216238,0.9703690618258944
4,7,PCA+poly,0.23570838986915987,0.19992870130553442,25.109981428041817,26.28548473518914,-1.4587953090193648,0.14462145412099647
4,8,INPCA(k3)+lin,0.23245959122465842,0.20959570490759816,25.216717224360334,25.967885696163865,-0.7625762043716386,0.44571618030546256
4,8,INPCA(k4)+lin,0.2239283006343925,0.20959570490759816,25.497003630019208,25.967885696163865,-0.4402235492608907,0.6597752053145303
4,8,PCA+poly,0.2877295084384769,0.20959570490759816,23.40088335104226,25.967885696163865,-1.8784131600592415,0.06032466660580571
5,1,INPCA(k3)+lin,0.05112130593490272,0.23024322040432732,46.759112084070374,37.93229183004274,2.1614456714733743,0.030660929364882072
5,1,INPCA(k4)+lin,-0.04262607018415432,0.23024322040432732,51.37882174238183,37.93229183004274,2.4030879581292384,0.016257276562822387
5,1,PCA+poly,0.09929143935542639,0.23024322040432732,44.38537065452536,37.93229183004274,2.459130567718844,0.013927395536205811
5,2,INPCA(k3)+lin,0.04570397553060912,0.26775502297779674,47.02606882064289,36.08377463603349,2.5439112585217476,0.010961892994555633
5,2,INPCA(k4)+lin,0.06891662275233079,0.26775502297779674,45.88218943964584,36.08377463603349,2.5981407307491566,0.009373007091533214
5,2,PCA+poly,0.20773793836726717,0.26775502297779674,39.04131346983342,36.08377463603349,1.2134066940740587,0.2249743682471974
5,3,INPCA(k3)+lin,0.1697804382493563,0.25113707697772325,40.911793873224944,36.90267846903615,1.4346888476547506,0.15137578359760195
5,3,INPCA(k4)+lin,0.17225724480425686,0.25113707697772325,40.78974110079415,36.90267846903615,2.279530616440303,0.02263554212703034
5,3,PCA+poly,0.1975454028554371,0.25113707697772325,39.5435841113806,36.90267846903615,1.0420292608740127,0.29739811300155283
5,4,INPCA(k3)+lin,0.18433202812484573,0.1838186104688656,40.194716520508294,40.22001686065933,-0.009961973083749374,0.9920516269488528
5,4,INPCA(k4)+lin,0.17997513575076307,0.1838186104688656,40.409416692545236,40.22001686065933,0.07058627883070753,0.9437270310786536
5,4,PCA+poly,0.2086955207938942,0.1838186104688656,38.99412545275975,40.22001686065933,-0.40885974535215125,0.6826425919062724
5,5,INPCA(k3)+lin,0.18037989830249657,0.18964497499381916,40.389470689286526,39.932903625249004,0.18679812968762474,0.8518189133998928
5,5,INPCA(k4)+lin,0.179330495273351,0.18964497499381916,40.44118346792524,39.932903625249004,0.19430478512285942,0.8459372390536033
5,5,PCA+poly,0.20741162379340294,0.18964497499381916,39.05739369149865,39.932903625249004,-0.3021070682946465,0.7625704443343981
5,6,INPCA(k3)+lin,0.14120404416564403,0.19305275387066823,42.319989485874245,39.76497413599294,1.1141409464390475,0.2652187248324571
5,6,INPCA(k4)+lin,0.13708106831732902,0.19305275387066823,42.52316265333716,39.76497413599294,1.2343130134751248,0.21708628856219248
5,6,PCA+poly,0.17912722482396293,0.19305275387066823,40.45120028649833,39.76497413599294,0.5308764530149117,0.5955043960454427
5,7,INPCA(k3)+lin,0.1965637667865574,0.20483302430138817,39.591957450625756,39.18446264501314,0.24676354578950052,0.80509122439653
5,7,INPCA(k4)+lin,0.19755580211854262,0.20483302430138817,39.54307165355835,39.18446264501314,0.24404043712751625,0.8071995021981075
5,7,PCA+poly,0.23256730229495204,0.20483302430138817,37.81776506672095,39.18446264501314,-1.1707493302429102,0.24169955023316403
5,8,INPCA(k3)+lin,0.22490542319731932,0.20579417459180505,38.195329307273106,39.137098809740685,-0.6432738348346658,0.5200464310680568
5,8,INPCA(k4)+lin,0.21352811126914117,0.20579417459180505,38.75598369543941,39.137098809740685,-0.23922340325378805,0.8109323562569501
5,8,PCA+poly,0.273816063749164,0.20579417459180505,35.78509695832073,39.137098809740685,-1.7271510977293025,0.08414053075566374
