# script: ch04_deflation_strategies.py
# seeds: 42, 7, 123, 2024, 5
# rhos: 0.0, 0.5
# deflations: X_deflation, X_sigma, Y_residual
seed,config,k,p,n,nonlinearity,noise,rho,deflation,mean_angle,inter_dcor,orth_err,elapsed
2024,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_sigma,9.468,0.0,0.09915821,1.124
5,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_sigma,6.7135,0.0,0.08423458,0.959
42,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,Y_residual,42.9492,0.999025,1.41379787,2.055
7,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,Y_residual,45.639,0.997827,1.41336828,2.504
123,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,Y_residual,7.1945,0.0,0.04813352,1.104
2024,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,Y_residual,44.7572,0.999766,1.4141059,1.054
5,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,Y_residual,48.1788,0.993274,1.41114152,1.091
42,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_deflation,2.8725,0.058812,0.12570437,0.908
7,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_deflation,3.0858,0.049735,0.30699235,0.947
123,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_deflation,3.2961,0.123672,0.31481227,1.049
2024,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_deflation,3.0715,0.068318,0.17040281,0.441
5,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_deflation,8.1381,0.025557,0.19990767,0.52
42,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_sigma,3.7581,0.026116,0.07353552,0.954
7,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_sigma,3.3921,0.0,0.07519191,0.958
123,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_sigma,3.875,0.000275,0.03262917,1.176
2024,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_sigma,3.9227,0.034934,0.06569956,0.467
5,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,X_sigma,8.0862,0.062959,0.16861589,0.484
42,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,Y_residual,12.3441,0.998905,1.41282007,1.21
7,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,Y_residual,44.791,0.999938,1.41412696,0.993
123,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,Y_residual,24.7739,0.999936,1.41412196,0.992
2024,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,Y_residual,37.475,0.99995,1.41416704,0.567
5,k2_p5_product_noiseless,2,5,400,product,0.0,0.5,Y_residual,22.4239,0.999516,1.41362806,0.56
42,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_deflation,6.4163,0.00657,0.10020863,1.042
7,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_deflation,4.5888,0.108311,0.43267224,1.007
123,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_deflation,8.8078,0.009783,0.08441871,0.988
2024,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_deflation,4.1458,0.0,0.05492044,0.449
5,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_deflation,7.1574,0.113486,0.37977324,0.417
42,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_sigma,8.8014,0.077715,0.23181293,0.997
7,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_sigma,8.4503,0.006948,0.09479286,0.911
123,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_sigma,7.9607,0.028383,0.21924457,1.106
2024,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_sigma,4.5448,0.001024,0.03638105,0.523
5,k2_p5_product_noisy,2,5,400,product,0.5,0.5,X_sigma,8.0527,0.028375,0.24775475,0.495
42,k2_p5_product_noisy,2,5,400,product,0.5,0.5,Y_residual,14.808,0.9976,1.41062475,1.298
7,k2_p5_product_noisy,2,5,400,product,0.5,0.5,Y_residual,38.2485,0.999854,1.41399645,1.254
123,k2_p5_product_noisy,2,5,400,product,0.5,0.5,Y_residual,25.9513,0.999848,1.41405182,1.176
2024,k2_p5_product_noisy,2,5,400,product,0.5,0.5,Y_residual,44.4653,0.999611,1.41363102,0.517
5,k2_p5_product_noisy,2,5,400,product,0.5,0.5,Y_residual,23.8705,0.994076,1.40659446,0.44
42,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_deflation,46.5552,0.023881,0.06625734,1.251
7,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_deflation,33.6588,0.013128,0.40906459,1.017
123,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_deflation,8.0162,0.005201,0.07574287,1.301
2024,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_deflation,13.0985,0.012034,0.06088031,0.563
5,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_deflation,40.4371,0.064004,0.1065111,0.547
42,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_sigma,12.5322,0.006025,0.0840491,1.124
7,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_sigma,6.8515,0.014173,0.19653954,1.378
123,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_sigma,8.2903,0.04462,0.21780745,1.087
2024,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_sigma,20.4749,0.00451,0.17188143,0.514
5,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,X_sigma,10.3552,0.00784,0.11812016,0.584
42,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,Y_residual,45.1298,0.997649,1.41257484,1.209
7,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,Y_residual,18.968,0.999049,1.41298061,1.374
123,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,Y_residual,14.5259,0.999796,1.41395576,0.621
2024,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,Y_residual,40.0909,0.998983,1.412978,0.587
5,k2_p10_sumSq_noiseless,2,10,400,sum_squares,0.0,0.5,Y_residual,23.9917,0.995669,1.40900116,0.527
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_deflation,22.8855,0.05107,0.09600305,1.214
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_deflation,38.0319,0.033213,0.09841975,1.207
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_deflation,8.8108,0.070319,0.29843623,0.52
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_deflation,12.3332,0.077499,0.23902445,0.53
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_deflation,18.5952,0.000869,0.21505013,0.606
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_sigma,17.3768,0.003795,0.03893307,1.332
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_sigma,9.6618,0.077815,0.30727241,1.05
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_sigma,8.6221,0.041849,0.19767722,0.505
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_sigma,21.6531,0.004977,0.1880536,0.535
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,X_sigma,13.0417,0.0,0.01606439,0.568
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,Y_residual,35.7213,0.996512,1.41109361,1.384
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,Y_residual,25.9278,0.998766,1.41275444,1.3
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,Y_residual,14.392,0.999636,1.41376177,0.614
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,Y_residual,43.1741,0.998508,1.41236409,0.502
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.5,Y_residual,22.594,0.99085,1.40389968,0.571
42,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_deflation,17.2985,0.045073,0.23577209,2.576
7,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_deflation,31.0267,0.076911,0.50689761,2.834
123,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_deflation,15.2365,0.069094,0.36486647,1.288
2024,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_deflation,31.1597,0.13405,0.3200423,1.299
5,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_deflation,24.1952,0.163203,0.63269888,1.25
42,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_sigma,21.5334,0.007769,0.11183995,2.469
7,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_sigma,31.3306,0.023946,0.48962161,2.93
123,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_sigma,14.9379,0.062949,0.42340802,1.152
2024,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_sigma,28.7026,0.014318,0.30920422,1.373
5,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,X_sigma,12.9826,0.020073,0.34664427,1.347
42,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,Y_residual,29.4244,0.998322,2.44462357,2.766
7,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,Y_residual,36.2129,0.999689,2.44897504,3.501
123,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,Y_residual,37.8862,0.999577,2.44865573,1.287
2024,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,Y_residual,35.092,0.998887,2.44757291,1.361
5,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.5,Y_residual,29.3133,0.999123,2.44816419,1.291
42,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_deflation,28.0145,0.102545,0.35262124,0.881
7,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_deflation,57.4368,0.083008,0.58512469,1.088
123,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_deflation,32.5914,0.21042,0.38070651,0.299
2024,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_deflation,39.4839,0.006942,0.07652442,0.396
5,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_deflation,33.4957,0.0,0.30244507,0.46
42,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_sigma,44.2166,0.0,0.39373089,0.886
7,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_sigma,40.1103,0.07293,0.02555063,0.636
123,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_sigma,30.4501,0.209851,0.95565972,0.368
2024,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_sigma,50.9884,0.0,0.20369238,0.343
5,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,X_sigma,31.4691,0.006874,0.07248887,0.371
42,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,Y_residual,40.128,0.189782,1.00225143,0.963
7,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,Y_residual,59.3374,0.106132,0.75965337,0.858
123,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,Y_residual,56.317,0.008896,0.20822471,0.278
2024,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,Y_residual,37.4868,0.625397,0.94028458,0.435
5,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.5,Y_residual,32.079,0.085268,0.23505456,0.429
42,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_deflation,43.5716,0.198751,0.25162111,2.592
7,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_deflation,15.0013,0.000645,0.04201295,2.379
123,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_deflation,44.2908,0.010784,0.14969626,0.96
2024,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_deflation,44.5894,0.013572,0.14054046,1.037
5,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_deflation,48.4402,0.027219,0.00312537,1.185
42,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_sigma,45.2509,0.039637,0.0003174,2.316
7,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_sigma,14.6998,0.001007,0.13501141,2.198
123,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_sigma,43.0065,0.020813,0.19236535,0.932
2024,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_sigma,46.8626,0.028,0.12346363,0.936
5,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,X_sigma,45.6549,0.011648,0.03195359,1.132
42,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,Y_residual,43.7529,0.999705,1.41382745,2.774
7,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,Y_residual,44.9595,0.999824,1.41399074,2.338
123,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,Y_residual,47.3857,0.998711,1.41275932,1.022
2024,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,Y_residual,47.091,0.99879,1.41214178,1.146
5,k2_p20_product_noiseless,2,20,500,product,0.0,0.5,Y_residual,42.1346,0.999911,1.41412201,1.17
