# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,1,100,6,2,24,OLS,37.5327,,0.171253,0.0
accuracy,A,1,100,6,2,25,dCor-PP (this thesis),9.5757,0.240916,0.353917,0.069
accuracy,A,1,100,6,2,25,Sheng-Yin (SQP),9.6125,0.202581,0.286643,0.072
accuracy,A,1,100,6,2,25,SIR,47.3569,0.997894,0.265187,0.0
accuracy,A,1,100,6,2,25,OLS,17.6959,,0.482472,0.0
accuracy,A,1,100,6,2,26,dCor-PP (this thesis),7.9215,0.198699,0.388959,0.069
accuracy,A,1,100,6,2,26,Sheng-Yin (SQP),7.3671,0.189671,0.307297,0.054
accuracy,A,1,100,6,2,26,SIR,24.1752,0.654615,0.242435,0.0
accuracy,A,1,100,6,2,26,OLS,13.0892,,0.459031,0.0
accuracy,A,1,100,6,2,27,dCor-PP (this thesis),7.8699,0.233783,0.36644,0.061
accuracy,A,1,100,6,2,27,Sheng-Yin (SQP),6.3091,0.176358,0.281879,0.063
accuracy,A,1,100,6,2,27,SIR,23.7693,0.691999,0.238378,0.0
accuracy,A,1,100,6,2,27,OLS,14.9877,,0.458441,0.0
accuracy,A,1,100,6,2,28,dCor-PP (this thesis),9.8418,0.266696,0.285747,0.063
accuracy,A,1,100,6,2,28,Sheng-Yin (SQP),7.0233,0.19973,0.285761,0.067
accuracy,A,1,100,6,2,28,SIR,40.3685,0.963534,0.219536,0.0
accuracy,A,1,100,6,2,28,OLS,11.3072,,0.428119,0.0
accuracy,A,1,100,6,2,29,dCor-PP (this thesis),7.183,0.225275,0.324132,0.066
accuracy,A,1,100,6,2,29,Sheng-Yin (SQP),6.5623,0.152979,0.311427,0.06
accuracy,A,1,100,6,2,29,SIR,41.9197,0.946838,0.222557,0.0
accuracy,A,1,100,6,2,29,OLS,22.9593,,0.420151,0.0
accuracy,A,1,100,6,2,30,dCor-PP (this thesis),7.6822,0.233142,0.311308,0.07
accuracy,A,1,100,6,2,30,Sheng-Yin (SQP),8.3916,0.234345,0.312344,0.081
accuracy,A,1,100,6,2,30,SIR,18.9013,0.506649,0.263133,0.001
accuracy,A,1,100,6,2,30,OLS,7.4839,,0.461059,0.0
accuracy,A,1,100,6,2,31,dCor-PP (this thesis),13.6488,0.303061,0.333005,0.062
accuracy,A,1,100,6,2,31,Sheng-Yin (SQP),6.0324,0.132912,0.310426,0.075
accuracy,A,1,100,6,2,31,SIR,35.5128,0.902195,0.251278,0.0
accuracy,A,1,100,6,2,31,OLS,23.425,,0.47024,0.0
accuracy,A,1,100,6,2,32,dCor-PP (this thesis),12.4215,0.28511,0.287414,0.066
accuracy,A,1,100,6,2,32,Sheng-Yin (SQP),7.8954,0.173512,0.287069,0.059
accuracy,A,1,100,6,2,32,SIR,44.3276,0.989446,0.193993,0.0
accuracy,A,1,100,6,2,32,OLS,13.6735,,0.348546,0.0
accuracy,A,1,100,6,2,33,dCor-PP (this thesis),8.2964,0.221306,0.319814,0.074
accuracy,A,1,100,6,2,33,Sheng-Yin (SQP),6.4258,0.191646,0.290158,0.07
accuracy,A,1,100,6,2,33,SIR,25.5152,0.609238,0.247713,0.0
accuracy,A,1,100,6,2,33,OLS,23.0129,,0.430773,0.0
accuracy,A,1,100,6,2,34,dCor-PP (this thesis),7.4423,0.158189,0.309261,0.066
accuracy,A,1,100,6,2,34,Sheng-Yin (SQP),7.6397,0.161714,0.291894,0.069
accuracy,A,1,100,6,2,34,SIR,35.0268,0.895074,0.216176,0.0
accuracy,A,1,100,6,2,34,OLS,15.9177,,0.415837,0.0
accuracy,A,1,100,6,2,35,dCor-PP (this thesis),11.8736,0.24135,0.358409,0.059
accuracy,A,1,100,6,2,35,Sheng-Yin (SQP),8.0249,0.157043,0.330584,0.057
accuracy,A,1,100,6,2,35,SIR,25.8601,0.711958,0.283243,0.0
accuracy,A,1,100,6,2,35,OLS,22.6696,,0.446942,0.0
accuracy,A,1,100,6,2,36,dCor-PP (this thesis),6.0251,0.18714,0.306688,0.066
accuracy,A,1,100,6,2,36,Sheng-Yin (SQP),6.0249,0.134135,0.303369,0.065
accuracy,A,1,100,6,2,36,SIR,17.2063,0.434604,0.286873,0.001
accuracy,A,1,100,6,2,36,OLS,10.9589,,0.503125,0.0
accuracy,A,1,100,6,2,37,dCor-PP (this thesis),6.324,0.141209,0.287543,0.064
accuracy,A,1,100,6,2,37,Sheng-Yin (SQP),6.3124,0.136606,0.248954,0.071
accuracy,A,1,100,6,2,37,SIR,45.8026,0.991829,0.174896,0.0
accuracy,A,1,100,6,2,37,OLS,13.7353,,0.317043,0.001
accuracy,A,1,100,6,2,38,dCor-PP (this thesis),10.8061,0.211639,0.32874,0.065
accuracy,A,1,100,6,2,38,Sheng-Yin (SQP),9.6728,0.204822,0.321388,0.067
accuracy,A,1,100,6,2,38,SIR,43.449,0.949696,0.260454,0.001
accuracy,A,1,100,6,2,38,OLS,11.0046,,0.505556,0.0
accuracy,A,1,100,6,2,39,dCor-PP (this thesis),8.847,0.233565,0.241129,0.055
accuracy,A,1,100,6,2,39,Sheng-Yin (SQP),8.101,0.222417,0.219115,0.074
