# script: ch03_gradient_check.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
index,seed,n,p,best_h,err_at_best_h,err_at_1e5
dCor,7,500,5,1e-08,1.0,1.0
dCor,123,500,5,3.162277660168379e-06,3.642964346599135e-11,1.733025332560117e-05
dCor,2024,500,5,1e-06,9.144351411752495e-11,0.00010563407223565929
dCor,5,500,5,1e-06,5.046921904104011e-11,2.187231822353281e-06
dCor,2026,500,5,3.162277660168379e-06,3.2513220519133276e-11,1.5897332867747008e-07
dCor,17,500,5,3.162277660168379e-06,3.417112329833206e-11,1.4370076139747412e-05
dCor,99,500,5,1e-08,1.0,1.0
dCor,777,500,5,3.162277660168379e-06,5.329233630705135e-11,8.66341941302682e-06
dCor,31337,500,5,3.162277660168379e-06,6.186093582543575e-11,2.56711522035791e-06
dCor,42,500,20,3.162277660168379e-06,3.856665262317226e-11,4.626416409193105e-05
dCor,7,500,20,1e-08,1.0,1.0
dCor,123,500,20,3.162277660168379e-06,6.05861757432939e-11,4.027986107041686e-05
dCor,2024,500,20,1e-06,2.4267054815766304e-10,0.0001189152268865711
dCor,5,500,20,3.162277660168379e-06,5.5857740541457555e-11,1.7859010694128254e-05
dCor,2026,500,20,3.162277660168379e-06,4.6922346322420593e-11,0.0010471431701886927
dCor,17,500,20,3.162277660168379e-06,5.5578670087494116e-11,1.3347265869569593e-05
dCor,99,500,20,1e-07,1.512757387909104e-09,0.0005078378501920357
dCor,777,500,20,3.162277660168379e-06,3.719080043457219e-11,1.4805332112639288e-05
dCor,31337,500,20,3.162277660168379e-07,8.681659490657191e-10,0.0003524127188676288
dCor,42,500,50,3.162277660168379e-06,7.52562934398223e-11,0.0007964707155325941
dCor,7,500,50,1e-08,1.0,1.0
dCor,123,500,50,3.162277660168379e-06,6.214775179631023e-11,8.98548797932152e-05
dCor,2024,500,50,1e-06,2.3297106033105085e-10,0.0003250923279445547
dCor,5,500,50,3.162277660168379e-06,7.707909339070844e-11,0.00014037307554616845
dCor,2026,500,50,1e-06,2.262858975754545e-10,7.946078207183664e-05
dCor,17,500,50,3.162277660168379e-06,8.503869218001878e-11,1.827332810687268e-05
dCor,99,500,50,1e-08,1.0,1.0
dCor,777,500,50,3.162277660168379e-06,6.338552274963932e-11,0.0004118534837816222
dCor,31337,500,50,1e-07,2.66205040540513e-09,0.0003817702529237275
dVar,42,200,5,3.1622776601683795e-05,1.7643116767948974e-11,1.9159544322635326e-11
dVar,7,200,5,3.1622776601683795e-05,1.3014442484179047e-11,4.492484435409632e-11
dVar,123,200,5,3.1622776601683795e-05,8.957371436319226e-12,2.6563355258511246e-11
dVar,2024,200,5,3.162277660168379e-06,1.345121397164145e-10,3.657441438914e-05
dVar,5,200,5,1e-06,6.741837933858668e-10,9.244962504234257e-05
dVar,2026,200,5,1e-05,6.069218565900461e-11,6.069218565900461e-11
dVar,17,200,5,3.1622776601683795e-05,1.0109294575926129e-11,5.485180190685011e-11
dVar,99,200,5,1e-05,2.2703151376656207e-11,2.2703151376656207e-11
dVar,777,200,5,0.0001,5.858707824722414e-12,3.9561048424049864e-11
dVar,31337,200,5,3.1622776601683795e-05,1.5084199080442454e-11,5.84648382769776e-11
dVar,42,200,20,3.1622776601683795e-05,2.658067901701253e-11,9.116083021407036e-11
dVar,7,200,20,3.1622776601683795e-05,2.9139321508391e-11,6.618286865292278e-11
dVar,123,200,20,3.1622776601683795e-05,1.8397210878312408e-11,7.029238402480984e-11
dVar,2024,200,20,3.1622776601683795e-05,3.019329889260049e-11,5.2207812795734305e-11
dVar,5,200,20,3.162277660168379e-06,2.2363218812724677e-10,5.72776207696229e-05
dVar,2026,200,20,3.1622776601683795e-05,3.7890731797512713e-11,8.78209609723401e-11
dVar,17,200,20,3.1622776601683795e-05,3.0992808824426663e-11,7.693406382526008e-11
dVar,99,200,20,1e-05,9.379207187541947e-11,9.379207187541947e-11
dVar,777,200,20,3.1622776601683795e-05,3.288092539855902e-11,1.1000135882925597e-10
dVar,31337,200,20,1e-06,8.877389824056453e-10,0.0002395585348740227
dVar,42,200,50,3.162277660168379e-06,4.1579542276365046e-10,0.00013746580191563752
dVar,7,200,50,3.1622776601683795e-05,4.523243962146295e-11,1.3897449662381195e-10
dVar,123,200,50,1e-05,1.1586315756832994e-10,1.1586315756832994e-10
dVar,2024,200,50,1e-05,1.3190391217492902e-10,1.3190391217492902e-10
dVar,5,200,50,3.1622776601683795e-05,4.3036113494281245e-11,1.4162268119505367e-10
dVar,2026,200,50,3.1622776601683795e-05,3.391382973649682e-11,1.3445999831596578e-10
dVar,17,200,50,3.162277660168379e-06,3.910730590920257e-10,6.240229168315101e-05
dVar,99,200,50,3.1622776601683795e-05,4.220467430731892e-11,1.4397249505685737e-10
dVar,777,200,50,3.162277660168379e-06,4.496865576917154e-10,0.00022080949660086731
dVar,31337,200,50,3.1622776601683795e-05,4.270697642624492e-11,1.39879773388366e-10
dVar,42,500,5,1e-05,1.9186209721866387e-11,1.9186209721866387e-11
dVar,7,500,5,1e-05,2.2418014269794633e-11,2.2418014269794633e-11
dVar,123,500,5,3.162277660168379e-06,6.63136394386115e-11,1.9150975821696134e-05
dVar,2024,500,5,1e-06,2.2754960744313114e-10,2.7159499812206944e-05
dVar,5,500,5,1e-06,3.1587677445807113e-10,1.4962547947049835e-05
dVar,2026,500,5,3.162277660168379e-06,8.00444853250493e-11,1.3398719617850053e-06
dVar,17,500,5,3.162277660168379e-06,6.599266007060301e-11,1.4580197203291451e-05
dVar,99,500,5,3.162277660168379e-06,9.183366045202754e-11,1.1274060622087583e-05
dVar,777,500,5,3.162277660168379e-06,8.39294548481898e-11,6.398586588637431e-06
dVar,31337,500,5,3.162277660168379e-06,5.268100205323853e-11,1.3102904021959548e-06
dVar,42,500,20,3.162277660168379e-06,1.273097911186252e-10,7.66177343657837e-05
dVar,7,500,20,3.162277660168379e-06,1.4154928594407763e-10,7.716949747585626e-06
dVar,123,500,20,3.162277660168379e-06,1.2114244603802499e-10,3.881864636867275e-05
dVar,2024,500,20,1e-06,3.346007117931199e-10,7.498893531964378e-05
dVar,5,500,20,3.162277660168379e-06,1.881832958505203e-10,3.646434998582747e-05
dVar,2026,500,20,3.162277660168379e-06,1.4546546532589471e-10,9.817598365010092e-05
dVar,17,500,20,3.162277660168379e-06,1.5085728764721685e-10,7.06023105465568e-06
dVar,99,500,20,1e-07,4.228423006756072e-09,0.0001393434379420963
